epoch,test_loss,test_accuracy
1,2.3,10.0
2,2.31,13.22
3,2.3,14.66
4,2.27,17.75
5,2.23,19.49
6,2.16,19.71
7,2.11,22.4
8,2.07,23.73
9,2.04,24.37
10,2.01,24.5
11,1.99,24.6
12,1.97,24.65
13,1.95,24.49
14,1.95,24.32
15,1.94,24.1
16,1.94,24.05
17,1.92,24.13
18,1.92,24.5
19,1.91,24.75
20,1.9,25.0
21,1.89,25.58
22,1.89,25.84
23,1.88,26.26
24,1.87,26.81
25,1.86,27.38
26,1.85,27.77
27,1.84,28.29
28,1.83,28.78
29,1.83,29.23
30,1.82,29.81
31,1.81,30.46
32,1.8,30.58
33,1.8,30.89
34,1.79,31.25
35,1.78,31.63
36,1.78,31.94
37,1.77,32.21
38,1.76,32.49
39,1.76,32.88
40,1.75,33.14
41,1.74,33.53
42,1.74,33.73
43,1.73,34.02
44,1.73,34.43
45,1.72,34.72
46,1.72,34.87
47,1.71,35.2
48,1.7,35.57
49,1.7,35.9
50,1.69,36.07
51,1.69,36.43
52,1.68,36.67
53,1.68,36.92
54,1.67,37.18
55,1.66,37.38
56,1.66,37.61
57,1.65,37.92
58,1.65,38.24
59,1.64,38.76
60,1.63,38.91
61,1.63,39.14
62,1.62,39.48
63,1.62,39.89
64,1.61,40.04
65,1.61,40.29
66,1.6,40.39
67,1.6,40.71
68,1.59,40.88
69,1.59,41.28
70,1.58,41.58
71,1.58,41.75
72,1.57,42.03
73,1.57,42.21
74,1.56,42.47
75,1.56,42.65
76,1.55,42.82
77,1.55,43.09
78,1.54,43.42
79,1.54,43.66
80,1.53,43.92
81,1.53,44.22
82,1.52,44.39
83,1.52,44.82
84,1.51,44.98
85,1.51,45.05
86,1.5,45.22
87,1.5,45.43
88,1.5,45.67
89,1.49,46.02
90,1.49,46.18
91,1.48,46.41
92,1.48,46.56
93,1.48,46.67
94,1.47,46.92
95,1.47,47.24
96,1.46,47.39
97,1.46,47.65
98,1.45,47.83
99,1.45,48.05
100,1.44,48.22
101,1.44,48.44
102,1.44,48.51
103,1.43,48.68
104,1.42,49.0
105,1.42,49.2
106,1.42,49.15
107,1.41,49.5
108,1.41,49.61
109,1.4,49.69
110,1.4,49.9
111,1.4,50.07
112,1.39,50.27
113,1.39,50.33
114,1.39,50.33
115,1.38,50.46
116,1.38,50.66
117,1.37,50.69
118,1.37,50.74
119,1.37,51.06
120,1.36,51.2
121,1.36,51.35
122,1.36,51.53
123,1.35,51.64
124,1.35,51.87
125,1.34,52.01
126,1.34,52.09
127,1.34,52.12
128,1.33,52.16
129,1.33,52.33
130,1.33,52.54
131,1.32,52.61
132,1.32,52.71
133,1.32,52.82
134,1.32,52.86
135,1.31,52.85
136,1.31,52.97
137,1.31,53.03
138,1.31,53.14
139,1.3,53.37
140,1.3,53.38
141,1.3,53.59
142,1.29,53.7
143,1.29,53.72
144,1.29,53.85
145,1.29,53.96
146,1.29,54.04
147,1.28,54.01
148,1.28,54.05
149,1.28,54.15
150,1.28,54.24
151,1.28,54.48
152,1.28,54.51
153,1.27,54.58
154,1.27,54.61
155,1.27,54.52
156,1.27,54.67
157,1.27,54.69
158,1.26,54.89
159,1.27,54.7
160,1.26,54.77
161,1.26,54.92
162,1.26,55.09
163,1.26,55.11
164,1.26,55.17
165,1.26,55.18
166,1.25,55.33
167,1.25,55.43
168,1.25,55.42
169,1.25,55.57
170,1.25,55.63
171,1.25,55.71
172,1.25,55.82
173,1.25,55.74
174,1.25,55.8
175,1.24,55.94
176,1.24,55.88
177,1.24,55.93
178,1.23,56.25
179,1.24,56.07
180,1.24,56.01
181,1.23,56.4
182,1.24,56.11
183,1.22,56.57
184,1.24,56.14
185,1.23,56.61
186,1.23,56.34
187,1.24,56.4
188,1.22,56.75
189,1.21,57.12
190,1.24,56.53
191,1.22,56.94
192,1.24,56.57
193,1.22,57.0
194,1.23,57.07
195,1.22,56.98
196,1.23,56.61
197,1.21,57.27
198,1.23,56.68
199,1.21,56.99
200,1.21,57.37
201,1.23,56.8
202,1.23,57.25
203,1.22,57.34
204,1.23,56.93
205,1.22,57.28
206,1.22,57.48
207,1.24,56.87
208,1.23,56.99
209,1.24,57.09
210,1.22,57.77
211,1.23,57.57
212,1.22,57.77
213,1.24,57.18
214,1.23,57.56
215,1.21,57.87
216,1.21,57.78
217,1.21,57.92
218,1.23,57.64
219,1.23,57.46
220,1.23,57.8
221,1.23,57.76
222,1.23,57.79
223,1.23,58.11
224,1.25,57.88
225,1.24,58.09
226,1.25,57.83
227,1.24,57.99
228,1.25,58.09
229,1.26,57.86
230,1.26,57.82
231,1.28,57.49
232,1.25,58.09
233,1.27,57.68
234,1.28,58.13
235,1.27,58.14
236,1.28,57.85
237,1.27,57.82
238,1.26,58.07
239,1.28,57.81
240,1.28,58.1
241,1.29,57.86
242,1.28,58.05
243,1.29,58.24
244,1.3,57.79
245,1.3,58.19
246,1.29,57.81
247,1.31,57.93
248,1.28,58.12
249,1.31,58.34
250,1.3,58.32
251,1.3,58.47
252,1.32,58.01
253,1.35,57.97
