epoch,test_loss,test_accuracy
1,2.22,16.45
2,2.07,23.57
3,1.84,28.65
4,1.77,31.22
5,1.85,33.91
6,1.91,34.78
7,1.96,36.99
8,1.99,37.68
9,1.98,39.62
10,2.1,42.04
11,1.95,43.46
12,2.24,42.84
13,2.08,45.36
14,2.35,42.93
15,2.42,44.63
16,2.53,43.81
17,2.55,46.24
18,2.27,50.24
19,2.88,44.28
20,2.41,49.82
21,2.65,49.1
22,2.48,51.37
23,2.98,46.29
24,2.71,49.65
25,2.86,49.62
26,2.72,51.84
27,2.87,50.45
28,2.93,51.17
29,2.84,51.2
30,2.89,51.98
31,2.88,52.1
32,2.86,52.86
33,3.02,52.01
34,2.77,54.73
35,2.89,54.13
36,2.85,54.29
37,2.98,53.77
38,3.05,53.71
39,2.97,54.84
40,3.08,54.12
41,3.07,54.49
42,3.02,55.13
43,3.1,54.76
44,3.03,55.68
45,3.08,56.66
46,3.25,55.38
47,3.12,56.52
48,3.23,55.39
49,3.07,57.22
50,3.2,55.88
51,3.01,57.88
52,3.3,56.89
53,3.29,57.24
54,3.06,58.83
55,3.27,56.87
56,3.22,58.6
57,3.28,58.23
58,3.08,59.25
59,3.11,59.79
60,3.12,59.91
61,3.17,59.16
62,3.25,58.77
63,3.06,61.17
64,3.06,60.51
65,3.12,60.4
66,3.1,61.26
67,3.21,60.49
68,3.26,61.11
69,3.29,60.49
70,3.1,62.56
71,3.22,61.67
72,3.2,62.85
73,3.15,61.75
74,3.05,62.37
75,3.21,62.3
76,3.17,62.17
77,3.18,62.58
78,3.07,63.64
79,3.35,62.21
80,3.23,62.53
81,3.14,64.41
82,3.3,62.94
83,3.37,62.38
84,3.12,63.49
85,3.18,63.8
86,3.16,64.66
87,3.14,63.82
88,3.33,63.26
89,3.2,63.48
90,3.14,64.37
91,3.36,63.46
92,3.26,62.9
93,3.32,63.72
94,3.3,63.31
95,3.14,64.71
96,3.35,63.09
97,3.28,64.17
98,3.26,64.67
99,3.39,63.75
100,3.37,64.57
101,3.39,64.51
102,3.27,64.87
103,3.23,65.58
104,3.43,64.24
105,3.3,64.88
106,3.43,64.91
107,3.41,65.2
108,3.46,64.9
109,3.44,65.56
110,3.38,66.07
111,3.57,64.79
112,3.55,64.87
113,3.66,65.55
114,3.53,65.77
115,3.43,66.36
116,3.4,66.54
117,3.46,65.36
118,3.43,65.66
119,3.51,65.25
120,3.34,65.92
121,3.49,65.77
122,3.43,65.74
123,3.36,65.82
124,3.52,65.56
125,3.64,65.22
126,3.66,65.63
127,3.67,65.87
128,3.49,66.52
129,3.46,66.12
130,3.38,66.62
131,3.48,66.24
132,3.47,66.03
133,3.53,65.68
134,3.45,66.47
135,3.59,65.62
136,3.49,66.27
137,3.52,66.16
138,3.39,66.45
139,3.55,65.95
140,3.57,66.15
141,3.68,65.88
142,3.49,66.63
143,3.4,66.95
144,3.53,66.22
145,3.68,65.71
146,3.46,66.44
147,3.51,66.12
148,3.6,66.36
149,3.54,66.24
150,3.48,66.56
151,3.63,66.35
152,3.52,66.69
153,3.47,66.5
154,3.66,66.66
155,3.5,67.16
156,3.54,67.32
157,3.61,66.74
158,3.84,65.77
159,3.7,66.58
160,3.55,66.73
161,3.54,67.16
162,3.48,67.51
163,3.53,67.7
164,3.47,67.75
165,3.44,68.05
166,3.67,66.85
167,3.63,66.89
168,3.45,67.99
169,3.51,67.98
170,3.44,67.58
171,3.43,67.63
172,3.37,68.23
173,3.28,68.11
174,3.43,67.08
175,3.23,68.73
176,3.31,68.19
177,3.35,67.99
178,3.44,67.36
179,3.45,67.39
180,3.23,68.66
181,3.5,67.33
182,3.29,69.07
183,3.48,67.61
184,3.36,68.26
185,3.29,68.36
186,3.5,67.66
187,3.33,68.02
188,3.37,68.79
189,3.4,68.04
190,3.31,68.38
191,3.31,68.23
192,3.29,68.41
193,3.3,67.87
194,3.3,68.34
195,3.5,67.64
196,3.28,68.95
197,3.5,67.94
198,3.59,67.91
199,3.44,68.85
200,3.42,69.09
201,3.35,68.99
202,3.2,69.0
203,3.39,68.64
204,3.18,69.63
205,3.36,68.5
206,3.06,69.94
207,3.21,68.99
208,3.18,69.28
209,3.28,68.24
210,3.25,68.86
211,3.37,68.17
212,3.3,68.28
213,3.28,68.52
214,3.16,68.97
215,3.19,69.04
216,3.07,69.89
217,3.16,69.3
218,3.26,68.9
219,3.17,69.27
220,3.2,68.62
221,3.15,69.2
222,3.33,68.62
223,3.17,68.67
224,3.33,68.29
225,3.24,69.2
226,3.23,69.22
227,3.21,69.35
228,3.12,69.64
229,3.16,69.68
230,3.21,69.06
231,3.17,70.21
232,3.29,68.73
233,3.17,69.19
234,3.46,68.5
235,3.27,69.56
236,3.34,69.46
237,3.3,69.48
238,3.23,69.64
239,3.2,69.82
240,3.17,70.08
241,3.45,69.22
242,3.25,69.59
243,3.12,69.85
244,3.13,69.73
245,3.34,69.29
246,3.18,69.75
247,3.22,69.51
248,3.13,70.31
249,3.18,69.58
250,3.02,70.24
251,3.09,69.64
252,3.21,69.62
253,3.25,69.65
254,3.19,69.83
255,3.29,69.8
256,3.31,69.3
257,3.32,69.74
258,3.38,68.89
259,3.25,69.44
260,3.37,68.62
261,3.25,69.34
262,3.28,69.6
263,3.34,69.26
264,3.35,68.89
265,3.41,68.91
266,3.29,69.65
267,3.18,70.15
268,3.14,69.66
269,3.26,69.49
270,3.25,69.2
271,3.35,68.86
272,3.14,69.7
273,3.09,70.12
274,3.09,70.49
275,3.11,70.46
276,3.35,69.43
277,3.13,70.01
278,3.15,69.74
279,3.21,69.71
280,3.32,69.24
281,3.31,69.36
282,3.26,69.58
283,3.12,70.36
284,3.31,69.42
285,3.14,69.9
286,3.34,69.39
287,3.18,69.85
288,3.16,70.48
289,3.31,70.01
290,3.26,69.85
291,3.15,70.88
292,3.15,70.26
293,3.15,70.28
294,3.3,69.83
295,3.28,69.61
296,3.23,70.23
297,3.22,69.8
298,3.3,69.63
299,3.19,69.9
300,3.25,69.85
301,3.11,70.3
302,3.21,69.79
303,3.1,69.76
304,3.23,69.47
305,3.27,69.35
306,3.32,69.23
307,3.29,68.98
308,3.1,69.67
309,3.3,69.09
310,3.21,69.68
311,3.23,69.98
312,3.13,70.24
313,3.24,69.81
314,3.42,69.03
315,3.45,68.88
316,3.26,69.89
317,3.1,70.21
318,3.29,69.39
319,3.26,69.72
320,3.23,69.67
321,3.21,70.15
322,3.2,70.41
323,3.22,70.58
324,3.33,69.9
325,3.22,70.15
326,3.22,70.39
327,3.14,70.6
328,3.12,70.63
329,3.32,69.65
330,3.29,69.59
331,3.13,70.45
332,3.12,70.58
333,3.19,70.13
334,3.14,70.09
335,2.98,71.04
336,3.12,70.37
337,3.17,69.98
338,3.27,69.62
339,3.22,70.15
340,3.26,70.0
341,3.14,70.28
342,3.15,70.29
343,3.28,69.86
344,3.22,69.83
345,3.27,69.86
346,3.25,70.03
347,3.12,70.43
348,3.13,70.73
349,3.24,70.14
350,3.17,70.74
351,3.12,71.06
352,3.21,70.73
353,3.27,70.88
354,3.21,70.54
355,3.21,71.07
356,3.17,71.23
