epoch,test_loss,test_accuracy
1,2.25,17.27
2,2.13,23.17
3,1.95,26.66
4,1.79,29.94
5,1.85,32.19
6,1.85,34.52
7,1.9,35.55
8,1.86,36.43
9,1.91,37.72
10,1.95,39.39
11,1.89,43.93
12,2.01,43.01
13,1.97,45.03
14,2.21,44.75
15,2.21,45.91
16,2.42,44.93
17,2.18,50.82
18,2.3,50.02
19,2.34,50.08
20,2.38,51.62
21,2.4,51.48
22,2.41,52.77
23,2.54,52.28
24,2.53,53.0
25,2.6,52.42
26,2.5,53.71
27,2.57,54.08
28,2.57,54.85
29,2.61,55.05
30,2.5,55.45
31,2.67,54.56
32,2.78,54.97
33,2.78,54.98
34,2.91,52.67
35,2.79,55.58
36,2.99,53.86
37,2.94,54.88
38,3.07,54.45
39,3.02,55.04
40,3.11,54.74
41,3.01,53.71
42,2.86,57.34
43,2.92,56.45
44,3.03,56.41
45,3.07,56.32
46,3.12,56.18
47,3.02,57.79
48,3.04,57.11
49,3.09,56.67
50,3.15,55.42
51,3.19,55.89
52,3.1,56.51
53,3.28,55.12
54,2.94,58.89
55,3.16,57.26
56,3.26,56.64
57,3.2,57.83
58,3.28,56.98
59,3.28,57.31
60,3.2,58.02
61,3.3,58.13
62,3.32,58.82
63,3.15,61.22
64,3.23,59.76
65,3.2,60.13
66,3.29,59.38
67,3.24,60.6
68,3.27,61.07
69,3.29,60.45
70,3.22,60.22
71,3.17,62.32
72,3.35,59.23
73,3.26,62.65
74,3.38,59.49
75,3.31,62.4
76,3.25,61.41
77,3.22,62.97
78,3.15,62.12
79,3.16,62.94
80,3.18,63.69
81,3.18,63.58
82,3.31,61.24
83,3.19,63.14
84,3.14,63.6
85,3.34,63.61
86,3.34,63.85
87,3.07,64.38
88,3.17,63.74
89,3.25,62.61
90,3.37,63.49
91,3.5,62.1
92,3.41,61.86
93,3.4,62.57
94,3.33,63.21
95,3.37,62.71
96,3.42,62.18
97,3.51,60.63
98,3.4,63.44
99,3.29,64.6
100,3.37,64.21
101,3.36,65.05
102,3.55,63.27
103,3.47,64.66
104,3.51,64.16
105,3.43,65.17
106,3.41,65.2
107,3.48,65.07
108,3.45,64.7
109,3.5,65.04
110,3.54,65.43
111,3.53,65.28
112,3.52,65.35
113,3.52,65.43
114,3.72,63.35
115,3.57,65.16
116,3.65,64.1
117,3.67,63.52
118,3.69,64.02
119,3.44,65.24
120,3.57,65.24
121,3.67,64.38
122,3.71,63.72
123,3.52,65.14
124,3.45,65.91
125,3.33,66.16
126,3.46,66.11
127,3.5,65.84
128,3.41,66.22
129,3.34,66.33
130,3.41,66.35
131,3.32,66.77
132,3.45,66.14
133,3.28,66.97
134,3.33,66.64
135,3.38,66.02
136,3.46,66.49
137,3.23,66.66
138,3.28,66.95
139,3.34,66.29
140,3.32,66.69
141,3.42,66.41
142,3.39,66.72
143,3.41,67.14
144,3.55,66.24
145,3.35,66.46
146,3.38,66.41
147,3.34,66.91
148,3.44,67.15
149,3.43,66.86
150,3.52,67.1
151,3.52,66.41
152,3.6,65.87
153,3.6,65.97
154,3.46,67.33
155,3.51,67.72
156,3.55,66.79
157,3.61,67.45
158,3.61,67.3
159,3.68,67.26
160,3.66,67.05
161,3.66,66.75
162,3.4,67.24
163,3.29,68.13
164,3.37,67.88
165,3.4,67.51
166,3.15,68.86
167,3.26,68.37
168,3.35,67.77
169,3.48,67.79
170,3.58,67.82
171,3.57,67.64
