epoch,test_loss,test_accuracy
1,2.5,9.95
2,3.05,17.69
3,2.73,28.18
4,2.2,25.34
5,2.2,29.06
6,4.2,23.19
7,4.42,22.51
8,4.26,28.63
9,2.46,44.31
10,3.22,35.62
11,4.07,42.29
12,3.64,32.6
13,2.13,44.92
14,2.98,38.01
15,4.08,33.28
16,3.62,41.34
17,4.42,39.23
18,4.48,37.12
19,4.47,38.05
20,3.15,42.1
21,4.63,34.41
22,4.77,39.33
23,4.07,46.49
24,2.72,47.59
25,5.09,35.87
26,4.99,39.83
27,4.68,47.43
28,4.74,47.71
29,4.49,41.48
30,3.24,51.7
31,3.33,49.22
32,5.05,43.88
33,2.94,54.88
34,4.8,48.37
35,3.4,54.81
36,4.16,48.17
37,2.84,53.1
38,4.14,52.44
39,4.42,44.76
40,5.12,45.94
41,2.88,55.32
42,3.27,55.34
43,4.71,47.36
44,4.65,48.6
45,6.34,44.69
46,3.63,50.82
47,4.91,49.58
48,5.26,44.72
49,3.06,53.8
50,3.96,50.06
51,2.9,56.5
52,4.43,49.19
53,4.04,52.56
54,6.12,41.92
55,3.4,54.55
56,4.86,53.02
57,6.2,47.81
58,3.54,52.8
59,5.69,49.49
60,3.63,56.33
61,3.63,56.86
62,3.31,55.25
63,3.67,53.35
64,6.78,49.25
65,4.27,57.22
66,3.29,60.67
67,2.72,59.72
68,4.49,51.15
69,3.45,60.69
70,3.54,53.24
71,3.04,61.66
72,4.09,56.89
73,4.63,50.16
74,4.73,51.86
75,4.9,48.61
76,4.01,50.08
77,3.19,60.6
78,5.52,50.95
79,4.58,51.16
80,2.99,61.19
81,4.23,58.75
82,2.95,61.0
83,4.72,52.93
84,5.45,50.86
85,4.05,61.21
86,2.71,64.76
87,3.69,57.65
88,3.36,54.86
89,4.01,54.43
90,3.24,59.27
91,3.52,55.2
92,5.56,49.37
93,4.24,53.25
94,2.84,64.66
95,3.12,62.14
96,4.31,63.17
97,3.83,61.2
98,4.04,58.86
99,5.29,53.26
100,5.06,49.21
101,3.5,61.44
102,6.1,47.99
103,3.67,56.86
104,4.22,56.39
105,2.87,65.65
106,3.38,58.0
107,7.57,48.74
108,3.43,62.3
109,3.65,56.78
110,4.23,56.39
111,3.47,62.07
112,3.67,62.37
113,4.05,59.42
114,3.47,64.52
115,4.46,59.81
116,3.99,62.12
117,4.61,57.04
118,7.03,48.86
119,3.87,63.51
120,2.99,66.3
121,3.27,64.64
122,3.72,56.4
123,3.54,67.64
124,2.79,67.48
125,3.59,63.08
126,3.94,56.81
127,3.69,63.06
128,3.08,64.74
129,3.08,65.62
130,5.26,48.83
131,5.37,54.36
132,6.71,48.12
133,4.72,53.19
134,3.34,63.54
135,3.9,55.93
136,4.27,63.84
137,4.18,63.58
138,6.06,55.08
139,7.24,52.62
140,6.31,54.27
141,3.3,63.68
142,5.51,52.35
143,2.89,67.22
144,4.46,61.07
145,3.61,60.18
146,3.82,58.85
147,4.21,59.33
148,3.39,63.48
149,3.62,66.59
150,3.39,63.01
151,3.89,62.49
152,2.86,67.91
153,4.3,55.08
154,3.56,63.3
155,4.67,54.56
156,3.63,62.58
157,4.62,62.77
158,4.12,65.36
159,3.05,66.59
160,3.5,64.64
161,4.32,59.59
162,4.87,63.32
163,4.57,57.05
164,4.51,59.5
165,2.97,69.14
166,4.56,57.97
167,4.04,60.38
168,2.99,65.75
169,5.34,53.7
170,5.12,53.03
171,6.31,53.6
172,3.09,68.08
173,4.05,59.47
174,3.49,66.74
175,4.94,54.99
176,4.1,65.03
177,4.03,65.85
178,3.46,60.99
179,6.74,51.88
180,4.22,61.24
181,4.28,60.01
182,4.78,64.14
183,4.55,61.31
184,4.3,60.0
185,3.55,67.3
186,4.71,60.29
187,4.18,61.63
188,3.31,68.63
189,3.51,67.42
190,2.93,69.76
191,3.58,61.23
192,4.87,57.93
193,3.12,70.0
194,3.81,64.89
195,3.96,58.0
196,5.19,52.81
197,3.38,67.17
198,3.53,67.22
