epoch,test_loss,test_accuracy
1,2.0,34.87
2,1.84,36.73
3,1.7,37.25
4,1.45,41.84
5,1.39,42.0
6,1.31,46.42
7,1.27,49.23
8,1.22,53.08
9,1.16,55.45
10,1.11,59.63
11,1.1,61.41
12,1.06,61.7
13,1.05,62.08
14,1.02,62.98
15,1.04,63.56
16,1.03,63.66
17,1.02,64.57
18,1.02,63.84
19,1.01,65.33
20,1.02,64.03
21,1.01,65.79
22,1.03,64.35
23,1.02,65.96
24,1.03,65.55
25,1.0,66.12
26,1.01,66.17
27,1.02,66.83
28,1.01,66.21
29,1.03,66.82
30,1.01,66.56
31,1.02,66.76
32,1.02,66.7
33,1.0,68.12
34,1.0,67.28
35,0.99,68.35
36,1.04,66.78
37,0.99,69.24
38,1.01,67.89
39,0.97,68.8
40,0.99,68.21
41,0.96,68.88
42,0.98,68.96
43,0.97,69.19
44,1.0,69.1
45,0.98,69.6
46,0.96,69.69
47,0.96,69.85
48,0.96,70.12
49,0.96,70.06
50,0.95,70.54
51,0.94,70.91
52,0.92,71.19
53,0.93,71.01
54,0.93,71.21
55,0.95,70.66
56,0.91,72.12
57,0.9,71.93
58,0.91,71.79
59,0.89,72.21
60,0.9,72.12
61,0.91,72.12
62,0.92,72.28
63,0.91,72.62
64,0.91,72.53
65,0.9,72.9
66,0.88,73.11
67,0.87,73.59
68,0.89,73.33
69,0.89,73.54
70,0.89,73.55
71,0.89,74.07
72,0.89,74.18
73,0.88,74.41
74,0.87,74.44
75,0.86,74.52
76,0.87,74.74
77,0.86,74.89
78,0.85,74.73
79,0.84,74.99
80,0.88,74.83
81,0.88,74.94
82,0.87,75.1
83,0.85,75.68
84,0.85,75.18
85,0.82,76.17
86,0.86,75.61
87,0.85,75.99
88,0.86,75.85
89,0.82,76.6
90,0.86,75.7
91,0.83,76.64
92,0.85,76.21
93,0.85,76.69
94,0.82,76.89
95,0.84,76.42
96,0.83,76.67
97,0.83,76.79
98,0.82,77.15
99,0.84,77.07
100,0.82,77.35
101,0.84,76.71
102,0.82,76.92
103,0.83,77.43
104,0.83,76.96
105,0.83,77.44
106,0.82,77.5
107,0.81,77.98
108,0.85,77.17
109,0.79,78.35
110,0.82,77.87
111,0.83,77.69
112,0.82,77.59
113,0.82,78.01
114,0.83,77.6
115,0.83,78.02
116,0.84,78.03
117,0.83,78.06
118,0.85,78.27
119,0.85,77.49
120,0.83,78.12
121,0.83,78.79
122,0.81,78.65
123,0.81,78.32
124,0.83,78.75
125,0.83,78.21
126,0.81,79.06
127,0.81,78.69
128,0.82,79.24
