epoch,test_loss,test_accuracy
1,2.67,20.78
2,2.31,13.64
3,2.12,29.89
4,2.24,32.17
5,2.55,39.72
6,2.78,40.65
7,3.27,44.67
8,3.5,44.64
9,3.9,48.2
10,3.35,48.67
11,3.37,52.36
12,3.74,51.47
13,3.49,55.03
14,3.34,55.81
15,3.48,56.95
16,3.67,57.08
17,3.27,58.81
18,3.58,58.77
19,3.21,63.36
20,3.5,63.16
21,2.77,66.23
22,3.65,65.08
23,3.07,67.78
24,2.84,67.92
25,3.27,67.39
26,2.7,71.6
27,3.24,68.72
28,3.03,69.85
29,3.18,70.61
30,2.73,73.06
31,3.21,71.69
32,2.63,73.39
33,2.73,73.09
34,2.87,73.13
35,2.53,75.87
36,2.92,73.5
37,2.77,75.91
38,2.98,73.32
39,2.59,77.04
40,2.87,74.84
41,2.43,77.56
42,2.84,76.32
43,2.78,76.26
44,2.47,77.2
45,2.64,76.39
46,2.63,77.09
47,2.67,77.6
48,2.77,77.13
49,2.47,78.42
50,2.79,77.62
51,2.43,78.9
52,2.58,78.77
53,2.63,79.03
54,2.36,79.83
55,2.21,79.87
56,2.58,78.75
57,2.21,80.62
58,2.4,79.8
59,2.6,79.24
60,2.1,81.02
61,2.43,80.16
62,2.4,80.09
63,2.22,81.15
64,2.69,79.66
65,2.27,81.37
66,2.87,79.09
67,2.67,80.28
68,2.64,80.44
69,2.42,81.24
70,2.43,81.29
71,2.63,80.67
72,1.9,83.74
73,2.02,82.85
74,2.24,81.83
75,1.89,83.64
76,2.32,82.14
77,2.27,81.98
78,2.08,83.04
79,2.05,82.74
80,2.08,83.24
81,2.0,83.76
82,2.01,83.52
83,2.0,83.6
84,2.0,83.9
85,1.84,84.44
86,1.93,84.11
87,2.0,83.69
88,1.96,83.98
89,2.02,83.83
90,2.12,83.82
91,1.83,85.03
92,1.91,84.4
93,2.07,83.81
94,2.35,82.69
95,2.0,84.22
96,2.14,83.77
97,2.0,84.65
98,1.81,85.62
99,2.09,84.43
100,1.91,84.99
101,1.78,86.26
102,2.49,83.55
103,1.72,86.33
104,2.15,84.7
105,1.76,86.33
106,2.07,85.24
107,2.05,85.04
108,2.0,85.65
109,2.05,85.28
110,1.75,86.85
111,2.04,85.4
112,2.18,85.05
113,1.96,85.74
114,2.08,85.47
115,1.67,87.36
116,2.61,83.92
117,2.0,85.8
118,1.74,87.23
119,2.19,85.46
120,1.77,86.87
121,2.16,85.4
122,2.11,85.47
123,2.03,85.79
124,2.09,85.23
125,1.97,86.24
126,1.73,87.32
127,2.05,85.85
128,2.06,86.27
129,2.07,86.39
130,1.77,87.76
131,1.89,87.31
132,1.75,87.7
133,1.8,87.43
134,1.74,87.67
135,1.68,88.01
136,1.62,88.07
137,2.06,86.29
138,1.56,88.53
139,1.95,86.54
140,1.64,87.98
141,1.94,86.9
142,1.57,88.53
143,1.91,86.41
144,1.54,88.79
145,1.56,88.42
146,1.67,87.92
147,1.87,86.62
148,1.8,86.84
149,1.84,86.67
150,1.72,87.3
151,1.54,88.8
152,1.8,87.12
153,1.46,88.88
154,1.69,87.3
155,1.46,88.52
156,1.56,87.75
157,2.08,85.48
158,1.55,88.19
159,1.54,87.95
160,2.01,85.67
161,1.64,87.55
162,2.3,84.95
163,1.9,86.16
164,1.51,88.6
165,2.19,85.47
166,1.39,89.54
167,1.9,86.6
168,1.88,86.82
169,1.2,90.81
170,2.16,86.15
171,1.68,87.79
172,1.62,88.15
173,2.0,86.41
174,2.11,85.86
175,1.98,86.4
176,1.69,87.86
177,2.56,85.2
178,1.6,88.78
179,2.13,85.88
180,2.08,86.5
181,2.01,86.78
182,1.98,86.85
183,2.2,85.73
184,1.74,88.39
185,1.7,88.33
186,1.88,87.8
187,2.0,86.86
188,1.76,87.72
189,1.86,87.61
190,1.79,88.17
191,1.82,88.31
192,1.68,88.68
193,1.67,88.67
194,1.54,89.93
195,1.98,87.19
196,1.63,88.39
197,2.13,86.63
198,1.87,87.63
199,1.95,87.11
200,1.5,90.15
201,1.95,86.92
202,2.02,87.16
203,1.72,88.28
204,1.43,90.74
205,2.07,86.72
206,1.71,88.36
207,1.73,88.47
208,1.62,89.05
209,2.11,86.15
210,2.04,86.5
211,1.71,88.26
212,1.72,88.54
213,1.64,89.01
214,1.89,87.54
215,1.52,89.72
216,2.15,86.24
217,1.54,89.94
218,1.65,88.77
219,1.64,89.12
220,1.45,90.01
221,1.7,89.17
222,1.64,89.2
223,1.66,88.94
224,2.01,87.33
225,1.6,89.79
226,1.99,87.71
227,1.75,88.55
228,1.59,89.24
229,1.83,88.12
230,2.23,86.44
231,2.08,86.74
232,1.7,88.83
233,1.84,87.9
234,1.88,88.22
235,1.75,88.72
236,1.67,89.01
237,1.9,88.14
238,1.65,89.02
239,2.0,87.91
240,1.73,88.93
241,1.98,87.69
242,1.78,88.52
243,1.72,88.78
244,1.87,88.34
245,1.56,89.82
246,1.88,88.16
247,1.66,89.48
248,1.55,90.14
249,1.77,88.61
250,2.16,87.48
251,1.47,90.64
252,1.62,89.85
253,1.67,89.54
254,1.97,88.48
255,1.68,89.63
256,1.7,89.23
257,1.42,90.79
258,1.91,89.02
259,1.44,90.96
260,2.0,88.11
261,1.6,90.01
262,1.39,91.04
263,1.53,90.66
264,1.53,90.4
265,1.74,89.66
266,1.38,91.18
267,1.7,89.63
268,1.54,90.55
269,1.43,91.29
270,1.82,89.0
271,1.48,90.87
272,1.56,90.99
273,1.79,89.28
274,1.58,90.78
275,1.88,88.7
276,1.56,91.05
277,1.69,90.41
278,1.42,91.67
279,1.64,90.42
280,1.74,90.13
281,1.7,90.23
282,1.59,90.6
283,1.39,91.56
284,1.83,89.62
285,1.69,90.22
286,1.43,91.11
287,1.77,90.08
288,1.75,89.82
289,1.56,91.1
290,1.66,90.36
291,1.79,90.0
292,1.66,91.07
293,1.91,89.24
294,1.97,89.34
295,1.73,90.05
296,1.82,90.02
297,1.56,90.78
298,1.6,91.15
299,1.96,89.2
300,1.82,89.41
301,1.92,89.15
302,1.94,89.28
303,1.75,89.8
304,1.71,89.98
305,1.68,90.37
306,1.9,89.9
307,1.75,90.4
308,2.03,88.91
309,1.53,91.02
310,1.94,89.34
311,1.49,91.47
312,1.89,89.44
313,1.46,91.5
314,1.93,89.23
315,2.0,89.03
316,2.04,88.79
317,2.12,88.31
318,1.82,89.54
319,2.18,87.99
320,2.0,88.79
321,2.06,88.31
322,1.61,90.33
