epoch,test_loss,test_accuracy
1,3.46,9.74
2,2.53,25.89
3,2.18,31.09
4,2.05,37.92
5,3.45,35.07
6,2.91,44.46
7,3.38,42.3
8,4.22,43.73
9,3.86,44.59
10,4.34,47.52
11,4.68,46.16
12,3.86,52.56
13,4.4,50.09
14,4.22,54.7
15,4.18,54.77
16,4.22,59.05
17,4.18,58.25
18,4.66,57.37
19,3.64,63.33
20,4.29,59.97
21,3.7,65.07
22,4.69,60.68
23,3.43,66.63
24,3.99,64.75
25,4.29,64.05
26,4.18,65.49
27,4.1,66.5
28,3.58,67.38
29,4.71,66.21
30,3.57,68.76
31,3.85,68.75
32,3.63,70.86
33,3.63,70.63
34,3.62,70.62
35,3.94,71.13
36,3.32,73.04
37,2.97,73.56
38,3.55,71.99
39,3.66,72.93
40,3.01,75.16
41,3.77,73.29
42,3.66,73.32
43,3.26,74.91
44,3.32,75.21
45,3.38,74.65
46,3.36,76.09
47,3.54,74.38
48,2.98,77.35
49,3.17,75.6
50,2.99,77.47
51,2.82,77.45
52,3.07,77.5
53,2.67,78.56
54,3.09,77.58
55,2.67,79.27
56,2.98,77.82
57,2.92,78.45
58,2.84,78.51
59,3.08,78.65
60,2.62,79.57
61,3.27,78.29
62,3.24,77.81
63,2.32,81.04
64,2.89,79.25
65,2.89,78.47
66,2.52,80.76
67,2.72,79.47
68,2.65,80.53
69,2.74,80.41
70,2.49,81.78
71,2.57,81.16
72,2.39,82.32
73,2.65,81.23
74,2.24,82.81
75,2.85,80.44
76,2.18,83.16
77,2.32,82.44
78,2.64,81.0
79,2.42,82.39
80,2.77,80.86
81,2.61,81.1
82,2.52,81.97
83,2.24,83.15
84,2.56,81.52
85,2.52,82.33
86,2.36,83.27
87,2.56,82.18
88,1.92,85.76
89,2.95,80.89
90,2.21,83.81
91,3.05,79.91
92,2.19,84.05
93,2.54,82.16
94,2.77,81.95
95,2.43,82.93
96,2.42,83.21
97,2.12,85.1
98,2.3,83.83
99,2.66,82.07
100,2.14,84.81
101,2.07,85.16
102,2.18,84.88
103,2.22,84.96
104,2.17,84.97
105,2.15,85.04
106,1.93,86.04
107,2.28,84.08
108,2.1,85.1
109,2.29,83.89
110,2.11,85.01
111,1.74,87.5
112,2.33,84.53
113,2.07,85.69
114,2.21,84.68
115,2.19,84.72
116,2.04,86.03
117,2.29,84.22
118,1.97,86.55
119,2.19,85.06
120,2.2,85.81
121,2.16,86.02
122,2.17,85.43
123,1.97,86.45
124,2.12,86.1
125,2.19,85.63
126,1.84,87.54
127,1.89,87.1
128,1.84,87.5
129,1.93,86.54
130,1.78,87.62
131,2.22,85.47
132,1.66,88.22
133,1.96,86.57
134,1.8,87.86
135,1.81,87.84
136,1.87,87.65
137,1.72,87.95
138,1.72,88.49
139,1.93,86.88
140,1.89,87.35
141,1.85,87.55
142,1.81,87.91
143,1.93,87.03
144,1.83,88.18
145,1.72,88.7
146,1.73,88.88
147,2.07,86.69
148,1.56,90.07
149,1.77,88.56
150,1.66,89.36
151,1.86,87.79
152,1.97,87.3
153,1.78,88.29
154,1.88,87.62
155,1.84,88.06
156,1.75,88.65
157,1.66,89.09
158,1.53,89.71
159,1.74,88.97
160,1.86,88.4
161,1.79,88.68
162,1.62,89.73
163,1.76,88.7
164,1.64,89.45
165,1.91,87.93
166,1.72,88.81
167,1.68,89.07
168,1.81,88.21
169,1.91,88.07
170,1.74,89.17
171,1.88,88.39
172,2.07,87.33
173,1.92,88.26
174,1.77,88.79
175,1.91,88.25
176,2.06,87.45
177,1.92,88.63
178,1.93,88.41
179,1.89,88.76
180,2.29,86.65
181,1.78,89.32
182,1.94,88.63
183,1.88,88.79
184,1.71,89.83
185,1.82,89.38
186,1.76,89.75
187,1.99,88.81
188,1.98,89.1
189,2.16,87.96
190,1.76,89.92
191,2.19,87.85
192,1.71,90.02
193,1.9,89.31
194,1.88,89.36
195,1.83,89.66
196,1.91,89.13
197,1.85,89.63
198,2.07,88.48
199,1.9,89.05
200,1.73,90.01
201,1.62,90.57
202,1.89,89.24
203,1.94,88.85
204,1.79,89.4
205,1.75,89.76
206,1.92,89.22
207,1.81,89.85
208,1.77,89.75
209,1.85,89.37
210,1.89,89.29
211,1.96,88.33
212,1.84,89.39
213,1.8,89.92
214,2.05,88.48
215,1.87,89.22
216,2.01,88.81
217,2.12,88.17
218,1.95,89.2
219,2.12,88.49
220,2.0,89.19
221,1.93,89.67
222,2.03,89.05
223,1.87,89.58
224,1.95,89.26
225,1.9,89.86
226,1.66,90.58
227,1.68,90.69
228,1.85,89.74
229,1.82,90.11
230,1.89,89.65
231,1.82,90.21
232,1.92,89.82
233,2.28,87.76
234,2.1,88.87
235,2.18,88.52
236,1.93,89.61
237,1.91,89.85
238,2.06,89.05
239,1.88,89.98
