epoch,test_loss,test_accuracy
1,2.32,10.39
2,2.37,10.32
3,2.6,10.32
4,2.75,10.32
5,2.57,11.83
6,2.37,18.22
7,2.3,35.86
8,2.26,42.21
9,2.2,45.08
10,2.12,47.08
11,2.03,48.32
12,1.96,49.35
13,1.91,50.17
14,1.87,50.62
15,1.85,51.21
16,1.85,51.89
17,1.85,52.4
18,1.86,52.96
19,1.88,53.3
20,1.9,53.82
21,1.92,54.3
22,1.94,54.67
23,1.94,55.28
24,1.94,55.66
25,1.95,55.94
26,1.96,56.28
27,1.97,56.53
28,1.98,56.7
29,1.98,57.01
30,1.99,57.2
31,1.99,57.39
32,1.99,57.66
33,1.98,57.84
34,1.98,58.2
35,1.97,58.37
36,1.97,58.6
37,1.96,58.93
38,1.95,59.28
39,1.94,59.54
40,1.93,59.83
41,1.92,60.06
42,1.91,60.29
43,1.9,60.53
44,1.89,60.77
45,1.88,61.08
46,1.87,61.31
47,1.86,61.46
48,1.84,61.62
49,1.83,61.83
50,1.82,62.09
51,1.81,62.34
52,1.8,62.61
53,1.79,62.81
54,1.78,63.13
55,1.77,63.38
56,1.75,63.53
57,1.74,63.72
58,1.73,63.98
59,1.72,64.32
60,1.71,64.53
61,1.7,64.81
62,1.68,65.02
63,1.67,65.25
64,1.66,65.52
65,1.65,65.71
66,1.64,65.88
67,1.62,66.27
68,1.61,66.54
69,1.6,66.77
70,1.59,66.95
71,1.58,67.11
72,1.57,67.35
73,1.56,67.61
74,1.55,67.87
75,1.54,68.03
76,1.53,68.32
77,1.52,68.49
78,1.51,68.68
79,1.5,68.9
80,1.49,69.04
81,1.48,69.27
82,1.47,69.47
83,1.46,69.72
84,1.45,69.9
85,1.44,70.13
86,1.43,70.28
87,1.42,70.51
88,1.41,70.64
89,1.4,70.83
90,1.39,70.97
91,1.39,71.14
92,1.37,71.42
93,1.37,71.59
94,1.36,71.82
95,1.35,71.99
96,1.34,72.24
97,1.34,72.44
98,1.33,72.61
99,1.32,72.75
100,1.31,72.91
101,1.3,73.03
102,1.3,73.19
103,1.29,73.26
104,1.28,73.48
105,1.27,73.62
106,1.27,73.77
107,1.26,73.9
108,1.25,74.07
109,1.25,74.16
110,1.24,74.31
111,1.23,74.44
112,1.23,74.62
113,1.22,74.76
114,1.21,74.92
115,1.21,75.04
116,1.2,75.16
117,1.19,75.22
118,1.19,75.34
119,1.18,75.35
120,1.18,75.37
121,1.17,75.52
122,1.17,75.6
123,1.16,75.7
124,1.15,75.79
125,1.15,75.86
126,1.14,76.03
127,1.14,76.16
128,1.13,76.28
129,1.13,76.41
130,1.12,76.56
131,1.12,76.63
132,1.11,76.73
133,1.11,76.81
134,1.11,76.97
135,1.1,77.09
136,1.09,77.19
137,1.09,77.31
138,1.08,77.48
139,1.08,77.54
140,1.07,77.65
141,1.07,77.75
142,1.06,77.9
143,1.06,77.97
144,1.05,78.06
145,1.04,78.19
146,1.04,78.29
147,1.03,78.38
148,1.03,78.46
149,1.03,78.53
150,1.02,78.58
151,1.02,78.69
152,1.01,78.78
153,1.01,78.89
154,1.0,79.0
155,1.0,79.14
156,0.99,79.26
157,0.99,79.34
158,0.99,79.41
159,0.98,79.46
160,0.98,79.56
161,0.97,79.61
162,0.97,79.75
163,0.97,79.84
164,0.96,79.94
165,0.96,79.97
166,0.95,80.07
167,0.95,80.18
168,0.95,80.24
169,0.94,80.33
170,0.94,80.49
171,0.94,80.64
172,0.93,80.74
173,0.93,80.77
174,0.93,80.89
175,0.92,80.97
176,0.92,81.02
177,0.91,81.04
178,0.91,81.14
179,0.91,81.25
180,0.9,81.26
181,0.9,81.29
182,0.9,81.36
183,0.89,81.44
184,0.89,81.53
185,0.89,81.58
186,0.89,81.67
187,0.88,81.79
188,0.88,81.91
189,0.88,82.02
190,0.87,82.07
191,0.87,82.22
192,0.87,82.3
193,0.86,82.4
194,0.86,82.48
195,0.86,82.52
196,0.86,82.6
197,0.85,82.65
198,0.85,82.71
199,0.85,82.8
200,0.84,82.85
201,0.84,82.91
202,0.84,82.98
203,0.84,82.98
204,0.83,83.04
205,0.83,83.06
206,0.83,83.13
207,0.82,83.21
208,0.82,83.23
209,0.82,83.3
210,0.82,83.42
211,0.81,83.52
212,0.81,83.64
213,0.81,83.66
214,0.81,83.67
215,0.8,83.73
216,0.8,83.77
217,0.8,83.81
218,0.8,83.88
219,0.79,83.94
220,0.79,84.02
221,0.79,84.04
222,0.79,84.1
223,0.78,84.16
224,0.78,84.21
225,0.78,84.26
226,0.78,84.31
227,0.78,84.38
228,0.77,84.44
229,0.77,84.51
230,0.77,84.57
231,0.77,84.61
232,0.76,84.62
233,0.76,84.69
234,0.76,84.72
235,0.76,84.79
236,0.76,84.84
237,0.75,84.89
238,0.75,84.98
239,0.75,85.01
240,0.75,85.03
241,0.75,85.13
242,0.74,85.18
243,0.74,85.23
244,0.74,85.28
245,0.74,85.3
246,0.74,85.36
247,0.73,85.38
248,0.73,85.39
249,0.73,85.47
250,0.73,85.48
251,0.73,85.5
252,0.72,85.56
253,0.72,85.58
254,0.72,85.61
255,0.72,85.66
256,0.72,85.71
257,0.72,85.76
258,0.71,85.81
259,0.71,85.86
260,0.71,85.92
261,0.71,85.9
262,0.71,85.93
263,0.7,85.98
264,0.7,86.01
265,0.7,86.05
266,0.7,86.08
267,0.7,86.15
268,0.7,86.16
269,0.69,86.16
270,0.69,86.24
271,0.69,86.24
272,0.69,86.28
273,0.69,86.35
274,0.69,86.4
275,0.68,86.46
276,0.68,86.47
277,0.68,86.49
278,0.68,86.54
279,0.68,86.59
280,0.67,86.67
281,0.67,86.66
282,0.67,86.68
283,0.67,86.74
284,0.67,86.78
285,0.67,86.83
286,0.66,86.9
287,0.66,86.94
288,0.66,86.96
289,0.66,87.02
290,0.66,87.02
291,0.66,87.06
292,0.65,87.11
293,0.65,87.16
294,0.65,87.21
295,0.65,87.26
296,0.65,87.3
297,0.65,87.31
298,0.65,87.37
299,0.64,87.37
300,0.64,87.38
301,0.64,87.42
302,0.64,87.48
303,0.64,87.53
304,0.64,87.54
305,0.64,87.54
306,0.64,87.61
307,0.63,87.64
308,0.63,87.66
309,0.63,87.68
310,0.63,87.71
311,0.63,87.71
312,0.63,87.72
313,0.63,87.74
314,0.62,87.76
315,0.62,87.79
316,0.62,87.85
317,0.62,87.88
318,0.62,87.9
319,0.62,87.93
320,0.62,87.98
321,0.61,88.01
322,0.61,88.03
323,0.61,88.04
324,0.61,88.05
325,0.61,88.09
326,0.61,88.12
327,0.61,88.19
328,0.61,88.23
329,0.6,88.26
330,0.6,88.29
331,0.6,88.34
332,0.6,88.36
333,0.6,88.39
334,0.6,88.42
335,0.6,88.47
336,0.6,88.5
337,0.59,88.5
338,0.59,88.52
339,0.59,88.55
340,0.59,88.57
341,0.59,88.6
342,0.59,88.6
343,0.59,88.6
344,0.59,88.59
345,0.58,88.62
346,0.58,88.62
347,0.58,88.63
348,0.58,88.68
349,0.58,88.71
350,0.58,88.74
351,0.58,88.78
352,0.58,88.81
353,0.57,88.81
354,0.57,88.89
355,0.57,88.89
356,0.57,88.92
357,0.57,88.94
358,0.57,89.0
359,0.57,89.0
360,0.57,89.04
361,0.56,89.13
362,0.56,89.15
363,0.56,89.15
364,0.56,89.16
365,0.56,89.17
366,0.56,89.18
367,0.56,89.18
368,0.56,89.23
369,0.56,89.25
370,0.56,89.29
371,0.55,89.33
372,0.55,89.35
373,0.55,89.38
374,0.55,89.38
375,0.55,89.42
376,0.55,89.46
377,0.55,89.49
378,0.55,89.52
379,0.55,89.55
380,0.55,89.57
381,0.55,89.61
382,0.54,89.64
383,0.54,89.69
384,0.54,89.7
385,0.54,89.72
386,0.54,89.74
387,0.54,89.76
388,0.54,89.78
389,0.54,89.82
390,0.54,89.84
391,0.53,89.89
392,0.53,89.91
393,0.53,89.91
394,0.53,89.93
395,0.53,89.93
396,0.53,89.97
397,0.53,89.98
398,0.53,89.98
399,0.53,90.01
400,0.53,90.02
401,0.53,90.06
402,0.52,90.09
403,0.52,90.11
404,0.52,90.13
405,0.52,90.14
406,0.52,90.17
407,0.52,90.18
408,0.52,90.18
409,0.52,90.21
410,0.52,90.22
411,0.52,90.23
412,0.52,90.27
413,0.51,90.27
414,0.51,90.28
415,0.51,90.29
416,0.51,90.31
417,0.51,90.32
418,0.51,90.33
419,0.51,90.34
420,0.51,90.35
421,0.51,90.38
422,0.51,90.39
423,0.51,90.4
424,0.5,90.41
425,0.51,90.4
426,0.5,90.45
427,0.5,90.47
428,0.5,90.52
429,0.5,90.53
430,0.5,90.55
431,0.5,90.56
432,0.5,90.59
433,0.5,90.6
434,0.5,90.61
435,0.5,90.65
436,0.49,90.69
437,0.49,90.72
438,0.49,90.73
439,0.49,90.73
440,0.49,90.73
441,0.49,90.76
442,0.49,90.8
443,0.49,90.78
444,0.49,90.8
445,0.49,90.81
446,0.49,90.84
447,0.49,90.84
448,0.49,90.9
449,0.48,90.93
450,0.48,90.96
451,0.48,90.98
452,0.48,90.99
453,0.48,90.98
454,0.48,91.0
455,0.48,91.0
456,0.48,91.03
457,0.48,91.03
458,0.48,91.07
459,0.48,91.1
460,0.48,91.14
461,0.48,91.17
462,0.47,91.21
463,0.47,91.23
464,0.47,91.24
465,0.47,91.25
466,0.47,91.27
467,0.47,91.28
468,0.47,91.31
469,0.47,91.37
470,0.47,91.38
471,0.47,91.4
472,0.47,91.41
473,0.47,91.42
474,0.46,91.46
475,0.46,91.52
476,0.46,91.51
477,0.46,91.56
478,0.46,91.55
479,0.46,91.56
480,0.46,91.56
481,0.46,91.58
482,0.46,91.58
483,0.46,91.6
484,0.46,91.61
485,0.46,91.62
486,0.46,91.64
487,0.46,91.65
488,0.46,91.65
489,0.46,91.67
490,0.45,91.67
491,0.45,91.67
492,0.45,91.68
493,0.45,91.7
494,0.45,91.7
495,0.45,91.68
496,0.45,91.69
497,0.45,91.74
498,0.45,91.75
499,0.45,91.78
500,0.45,91.81
