epoch,test_loss,test_accuracy
1,3.16,9.8
2,2.31,19.86
3,2.0,27.67
4,1.83,34.43
5,3.19,29.74
6,2.05,44.77
7,3.42,36.84
8,2.61,50.88
9,3.82,46.65
10,3.2,50.28
11,4.05,48.6
12,3.56,50.06
13,4.38,49.88
14,3.43,54.97
15,3.95,53.35
16,3.53,56.45
17,3.5,58.43
18,3.99,57.62
19,3.7,58.64
20,3.61,61.31
21,3.49,60.48
22,3.53,62.97
23,3.32,62.74
24,3.74,63.42
25,3.36,64.91
26,3.49,65.14
27,3.25,66.38
28,3.7,65.91
29,3.55,65.55
30,3.55,66.81
31,3.69,66.34
32,3.69,66.41
33,3.84,66.75
34,3.81,67.34
35,3.71,67.85
36,4.47,66.91
37,3.37,69.85
38,3.91,68.28
39,3.38,69.88
40,4.23,68.66
41,3.31,70.84
42,4.03,69.97
43,3.58,71.04
44,3.81,70.47
45,3.73,70.45
46,3.63,71.94
47,3.65,71.2
48,3.64,72.26
49,3.72,72.11
50,3.49,73.08
51,4.03,71.66
52,3.48,73.61
53,3.77,72.36
54,3.14,74.72
55,3.45,73.96
56,3.45,74.41
57,3.71,73.26
58,3.44,74.32
59,3.57,75.09
60,3.46,74.77
61,3.36,75.41
62,3.28,75.76
63,3.62,75.22
64,3.43,75.85
65,3.45,75.57
66,3.6,75.7
67,3.77,74.76
68,3.71,74.95
69,4.32,72.37
70,3.27,76.61
71,4.27,72.79
72,3.64,75.17
73,4.11,72.38
74,3.43,75.97
75,3.62,76.8
76,3.21,76.58
77,3.42,76.1
78,3.21,77.52
79,3.39,75.24
80,2.79,78.13
81,4.33,73.23
82,2.58,79.28
83,4.22,72.88
84,2.52,79.64
85,4.89,72.14
86,2.32,80.94
87,3.66,74.79
88,2.65,79.88
89,4.04,73.75
90,2.65,80.04
91,3.37,75.51
92,2.84,79.87
93,3.67,75.25
94,2.8,80.56
95,3.28,76.3
96,2.98,80.19
97,3.03,78.37
98,2.53,81.24
99,3.49,76.45
100,2.31,81.77
101,4.03,74.1
102,2.39,81.75
103,3.67,75.74
104,2.49,81.27
105,3.74,75.18
106,2.2,82.43
107,4.15,74.9
108,1.81,85.46
109,3.33,79.7
110,1.95,84.39
111,2.86,81.2
112,2.06,83.41
113,2.71,80.64
114,1.98,83.98
115,2.94,80.2
116,2.29,83.19
117,3.21,79.08
118,2.14,83.55
119,3.53,77.33
120,2.16,83.22
121,3.46,77.35
122,2.13,83.59
123,3.79,75.41
124,2.58,82.32
125,2.73,80.65
126,2.48,82.86
127,2.57,81.8
128,2.9,82.54
129,2.66,80.23
130,2.48,82.57
131,2.63,82.46
132,2.32,83.77
133,2.6,80.63
134,2.0,85.36
135,3.0,79.16
136,2.29,84.07
137,3.97,75.7
138,2.11,84.87
139,3.84,75.81
140,1.87,86.31
141,4.24,75.1
142,2.36,84.05
143,4.43,75.98
144,2.28,84.28
145,3.55,77.44
146,1.77,87.2
147,4.68,74.63
148,1.78,87.56
149,4.44,75.26
150,1.5,89.5
151,4.28,75.1
152,1.56,89.08
153,3.93,77.39
154,1.6,89.27
155,3.3,80.54
156,1.81,87.75
157,3.1,80.24
158,1.52,89.76
159,3.04,81.95
160,1.6,89.49
161,2.63,83.73
162,1.99,87.09
163,2.85,83.35
164,1.72,88.95
165,3.48,82.99
166,1.66,88.92
167,3.46,82.14
168,1.5,89.79
169,3.41,80.17
170,1.7,88.06
171,2.78,82.29
172,1.63,88.78
173,3.0,81.15
174,1.37,90.26
175,3.62,79.65
176,1.36,90.6
177,4.13,78.75
178,1.42,90.3
179,3.91,78.66
180,1.4,90.44
181,3.91,79.54
182,1.45,90.68
183,3.95,82.45
184,1.67,88.9
185,2.73,85.0
186,1.77,87.65
187,2.73,84.78
188,1.6,89.46
189,3.44,83.62
190,1.76,87.98
191,2.69,85.16
192,1.79,87.37
193,2.55,85.43
194,2.05,86.72
195,2.36,84.85
196,1.85,87.26
197,2.72,82.58
198,1.8,88.41
