epoch,test_loss,test_accuracy
1,3.39,12.32
2,2.59,13.92
3,2.38,22.32
4,2.04,31.22
5,1.74,35.01
6,2.69,39.71
7,2.17,39.03
8,3.19,47.5
9,2.72,45.96
10,3.57,47.65
11,2.87,52.29
12,3.56,52.19
13,2.93,60.39
14,3.25,57.99
15,2.84,63.14
16,2.4,66.58
17,2.71,65.81
18,2.5,69.58
19,2.62,70.81
20,2.5,70.58
21,2.48,72.06
22,2.6,72.1
23,2.35,74.98
24,2.16,75.06
25,2.58,74.29
26,2.15,75.57
27,2.35,75.22
28,2.18,76.5
29,2.14,76.96
30,1.91,78.46
31,1.99,78.78
32,1.98,78.65
33,2.38,77.71
34,1.86,79.09
35,2.06,78.46
36,2.14,78.57
37,1.97,79.4
38,1.98,79.71
39,1.9,80.19
40,1.95,79.52
41,1.92,80.55
42,1.99,80.75
43,1.62,83.19
44,2.12,79.67
45,2.06,81.33
46,1.72,82.81
47,1.71,82.57
48,1.81,82.48
49,1.79,82.7
50,1.52,84.15
51,1.79,82.52
52,1.63,83.3
53,1.52,84.67
54,1.71,82.48
55,1.45,84.97
56,1.56,83.98
57,1.93,82.37
58,1.79,83.65
59,1.73,83.14
60,1.67,84.87
61,1.72,83.69
62,1.69,83.9
63,1.8,82.74
64,1.48,85.96
65,1.7,83.92
66,1.39,86.61
67,1.68,84.5
68,1.68,84.35
69,1.82,84.17
70,1.67,84.99
71,1.72,84.14
72,1.39,86.78
73,1.74,84.15
74,1.63,85.37
75,1.54,86.28
76,1.65,84.79
77,1.64,85.83
78,1.71,84.71
79,1.49,86.01
80,1.67,85.78
81,1.5,86.6
82,1.64,85.78
83,1.55,86.22
84,1.39,87.08
85,1.71,84.94
86,1.51,86.29
87,1.87,84.14
88,1.59,85.89
89,1.38,87.6
90,1.57,86.05
91,1.31,88.38
92,1.63,86.24
93,1.65,86.14
94,1.58,86.45
95,1.5,87.34
96,1.74,84.81
97,1.53,87.15
98,1.53,86.7
99,1.45,87.51
100,1.49,87.2
101,1.54,87.03
102,1.67,85.56
103,1.33,88.64
104,1.44,87.99
105,1.41,87.56
106,1.51,87.34
107,1.36,88.25
108,1.47,87.95
109,1.46,87.49
110,1.33,88.54
111,1.44,88.27
112,1.31,88.91
113,1.27,89.43
114,1.56,87.17
115,1.57,87.78
116,1.42,88.32
117,1.53,87.74
118,1.27,89.35
119,1.38,88.93
120,1.2,89.85
121,1.53,88.22
122,1.31,89.44
123,1.34,89.07
124,1.45,88.56
125,1.43,88.56
126,1.31,89.51
127,1.37,89.06
128,1.52,88.48
129,1.48,88.6
130,1.7,87.66
131,1.32,89.63
132,1.3,90.13
133,1.42,89.09
134,1.31,90.08
135,1.27,90.3
136,1.44,88.96
137,1.26,89.95
138,1.43,89.09
139,1.37,89.39
140,1.22,90.22
141,1.3,89.69
142,1.39,89.19
143,1.31,89.47
144,1.45,88.93
145,1.25,90.1
146,1.26,90.33
147,1.24,90.46
148,1.41,89.01
149,1.12,91.03
150,1.31,90.0
151,1.37,89.02
152,1.33,89.64
153,1.5,88.72
154,1.31,89.89
155,1.42,89.37
156,1.31,90.17
157,1.37,89.95
158,1.28,90.35
159,1.31,89.94
160,1.34,89.78
161,1.41,89.25
162,1.18,90.97
163,1.31,90.27
164,1.41,89.43
165,1.25,90.99
166,1.37,89.68
167,1.14,91.39
168,1.54,89.17
169,1.28,90.75
170,1.4,90.19
171,1.33,90.67
172,1.26,90.78
173,1.29,90.94
174,1.37,90.02
175,1.37,90.26
176,1.43,89.77
177,1.22,91.04
178,1.29,90.73
179,1.33,90.4
180,1.22,91.52
181,1.39,90.25
182,1.28,91.15
183,1.43,90.39
184,1.39,90.38
185,1.31,91.24
186,1.34,91.07
187,1.42,90.04
188,1.33,90.95
189,1.25,91.68
190,1.39,90.5
191,1.36,90.93
192,1.42,90.34
193,1.29,91.64
194,1.46,90.41
195,1.41,90.62
196,1.3,91.3
197,1.3,91.49
198,1.27,91.52
199,1.34,90.71
200,1.12,92.57
201,1.37,90.85
202,1.36,91.2
203,1.45,90.36
204,1.34,91.36
205,1.42,90.72
206,1.44,90.41
207,1.26,91.87
208,1.29,91.72
209,1.47,90.65
210,1.44,90.82
211,1.39,91.43
212,1.53,90.52
213,1.47,90.95
214,1.41,91.13
215,1.33,91.74
216,1.34,91.48
217,1.3,91.68
218,1.26,91.84
219,1.27,91.9
220,1.33,91.43
221,1.34,91.31
222,1.22,92.06
223,1.42,90.85
