epoch,test_loss,test_accuracy
1,3.01,9.76
2,5.34,10.32
3,4.2,10.26
4,4.29,24.42
5,5.29,10.42
6,3.58,22.52
7,6.07,14.47
8,7.06,17.95
9,4.14,31.22
10,2.34,38.99
11,5.98,41.2
12,4.13,43.86
13,3.53,47.22
14,8.2,36.74
15,5.0,43.78
16,7.53,44.2
17,5.16,50.45
18,4.22,54.6
19,5.68,51.99
20,3.82,57.44
21,3.27,60.38
22,4.39,56.55
23,3.81,62.79
24,5.52,59.21
25,3.61,63.87
26,4.07,60.51
27,4.75,59.54
28,4.19,61.84
29,3.03,66.35
30,2.95,71.01
31,4.33,64.01
32,3.04,68.73
33,4.65,63.98
34,3.59,66.2
35,3.33,69.63
36,4.43,61.75
37,3.74,67.04
38,3.02,69.63
39,3.08,71.98
40,3.77,69.91
41,3.05,71.78
42,2.78,72.88
43,4.88,67.18
44,2.22,75.53
45,4.4,67.38
46,2.39,75.7
47,3.26,71.86
48,4.06,70.46
49,3.33,72.8
50,2.58,76.96
51,3.67,74.29
52,2.28,78.54
53,4.52,66.83
54,2.32,78.53
55,4.75,69.31
56,2.7,77.45
57,3.2,74.54
58,3.15,74.69
59,3.59,74.1
60,2.92,76.89
61,3.76,72.33
62,4.15,71.58
63,3.77,73.74
64,2.8,77.28
65,3.67,76.32
66,4.53,70.33
67,4.11,74.3
68,2.7,78.68
69,2.39,79.05
70,3.1,78.56
71,3.36,76.43
72,3.58,76.57
73,3.59,76.12
74,2.5,79.57
75,3.05,78.27
76,4.27,73.58
77,3.52,78.52
78,3.98,75.96
79,4.57,72.19
80,3.13,78.08
81,2.31,82.04
82,3.54,76.59
83,2.64,81.16
84,3.01,79.05
85,2.35,82.29
86,3.42,78.11
87,3.31,77.92
88,3.62,77.0
89,2.33,83.36
90,2.94,80.68
91,3.22,78.88
92,2.75,80.5
93,2.96,79.92
94,2.69,82.19
95,2.07,84.26
96,2.25,83.48
97,2.68,82.39
98,2.53,82.99
99,2.49,82.1
100,2.11,85.02
101,2.95,81.78
102,2.52,83.46
103,2.12,84.24
104,2.56,81.7
105,2.21,84.11
106,3.25,80.25
107,2.41,83.2
108,2.81,82.81
109,2.66,83.13
110,2.85,82.23
111,2.65,83.66
112,2.59,82.69
113,2.6,82.66
114,3.69,78.17
115,2.48,84.12
116,2.42,84.8
117,3.85,79.78
118,3.62,80.12
119,3.18,81.2
120,3.19,81.78
121,3.04,82.35
122,3.11,82.83
123,2.9,82.62
124,2.97,82.03
125,2.85,83.7
126,2.96,81.9
127,2.94,83.06
128,3.09,82.53
129,2.76,83.82
130,3.26,80.83
131,2.8,84.07
132,3.18,82.7
133,2.68,83.93
134,2.29,85.66
135,2.31,85.93
136,3.78,79.91
137,2.99,83.14
138,3.31,81.16
139,4.06,77.46
140,3.46,79.89
141,2.83,83.11
142,3.24,81.58
143,3.48,80.53
144,2.47,85.33
145,3.86,80.64
146,3.33,81.82
147,3.61,80.93
148,2.95,84.22
149,2.93,83.27
150,2.48,86.03
151,3.63,81.13
152,3.19,82.85
153,2.66,84.57
154,2.82,83.73
155,2.28,86.33
156,3.39,81.6
157,3.31,82.35
158,2.48,85.69
159,2.65,84.96
160,2.75,84.92
161,2.25,86.84
162,2.97,83.94
163,2.34,86.0
164,3.15,82.68
165,3.03,83.99
166,2.39,86.32
167,3.6,81.91
168,3.25,82.49
169,2.51,85.42
170,2.79,84.9
171,2.66,85.17
172,2.17,87.17
173,2.53,85.47
174,3.33,82.71
175,2.28,86.89
176,3.57,82.41
177,3.86,82.05
178,2.49,85.81
179,3.08,83.97
180,2.9,85.29
181,2.66,85.61
182,2.89,85.26
183,3.46,83.01
184,3.18,83.63
185,3.0,84.25
186,3.48,82.85
187,3.38,83.11
188,3.7,81.92
189,3.76,81.37
190,3.37,82.99
191,3.3,84.74
192,3.48,83.12
193,3.39,82.45
194,2.8,86.26
195,2.43,86.51
196,3.84,80.96
197,3.15,84.09
198,3.67,81.5
199,4.12,82.26
200,3.84,83.09
201,2.41,87.46
202,2.57,86.35
203,3.03,85.15
204,3.1,84.04
205,2.23,87.95
206,2.42,87.32
207,2.8,86.33
208,2.85,86.2
209,2.7,86.32
210,1.9,89.62
211,3.02,85.53
212,2.6,87.11
213,2.75,86.05
214,2.43,87.6
215,2.95,85.46
216,2.78,86.55
217,2.42,88.13
218,3.93,82.63
219,2.26,88.42
220,2.48,86.78
221,2.39,87.35
222,2.9,85.44
223,3.27,84.19
224,2.97,84.77
225,2.87,85.68
226,2.88,85.49
227,2.78,86.08
228,2.56,86.67
229,2.97,85.86
230,2.45,87.68
231,2.84,86.2
232,2.89,85.71
233,2.34,87.82
234,1.97,88.97
235,2.47,87.43
236,3.15,84.97
237,3.2,85.1
238,2.7,86.63
239,2.26,88.44
240,2.33,88.09
241,2.52,87.06
242,2.88,86.4
243,2.95,86.23
244,2.24,89.4
245,2.5,88.66
246,2.22,88.68
247,3.24,84.83
248,2.59,87.46
249,2.25,88.9
250,2.75,87.57
251,2.92,86.01
252,3.25,85.01
253,2.3,88.93
254,2.4,88.47
255,2.78,87.25
256,2.76,87.82
257,2.49,88.92
258,2.35,89.57
259,2.71,87.66
260,2.17,89.86
261,2.43,88.61
262,1.95,90.51
263,2.29,89.06
264,2.89,86.9
265,2.17,89.83
266,2.11,89.56
267,2.26,89.64
268,2.79,87.71
269,2.56,87.78
270,2.06,90.05
271,2.41,88.87
272,2.61,88.67
273,2.06,89.51
274,2.32,89.01
275,2.4,88.33
276,3.72,84.52
277,2.89,87.13
278,2.76,87.38
279,2.33,88.5
280,2.37,88.47
281,2.14,89.36
282,2.12,89.17
283,2.8,87.05
284,2.22,89.33
285,2.97,86.8
286,2.71,87.86
287,2.41,88.99
288,2.69,87.37
289,3.0,85.76
290,2.55,88.03
291,2.46,88.27
292,2.53,88.18
293,3.48,84.3
294,2.62,87.94
295,3.13,85.2
296,3.41,84.12
297,2.17,89.71
298,2.84,86.43
299,1.93,89.98
300,2.48,88.19
301,3.17,85.94
302,2.36,88.85
303,3.92,83.71
304,4.0,83.15
305,2.35,88.73
306,2.19,89.63
307,2.7,88.02
308,2.7,87.74
309,2.69,88.25
310,2.17,89.89
311,3.17,86.38
312,2.24,89.7
313,2.39,89.15
314,2.63,88.69
315,2.93,87.44
316,2.17,90.25
317,2.28,90.19
318,2.52,89.32
319,2.26,89.7
320,2.69,88.43
321,2.22,89.68
322,2.52,89.09
323,2.88,87.2
324,2.25,89.39
325,2.91,87.41
326,2.39,89.4
327,2.19,89.55
328,3.47,85.79
329,1.96,90.79
330,2.54,88.62
331,2.64,89.33
332,2.77,88.01
333,1.88,91.2
334,1.87,91.07
335,1.87,91.26
336,2.85,87.87
337,2.57,88.51
338,2.83,87.0
339,2.22,90.1
340,2.65,88.47
341,2.77,87.68
342,2.57,88.57
343,2.37,89.4
344,2.47,88.81
345,2.34,90.37
346,2.53,89.27
347,2.53,88.89
348,2.46,88.89
349,2.46,88.73
350,2.17,90.08
351,2.38,89.42
352,2.37,89.57
353,1.97,91.43
354,2.05,90.58
355,2.54,89.09
356,2.92,87.48
357,2.66,88.01
358,2.25,89.49
359,2.25,90.42
360,2.64,89.01
361,2.71,88.59
362,2.72,88.66
363,2.97,87.71
364,2.43,89.4
365,2.26,90.64
366,2.56,89.27
367,3.25,86.76
368,2.16,90.3
369,2.45,89.46
370,2.99,87.63
371,2.43,89.14
372,2.83,87.77
373,2.85,88.03
374,2.77,88.45
375,2.14,91.16
376,2.7,89.08
377,2.84,88.66
378,2.6,88.5
379,2.98,88.1
380,3.23,87.39
381,2.85,87.85
382,2.58,89.08
383,2.82,88.4
384,2.79,88.5
385,2.4,90.02
386,2.27,90.15
387,2.48,89.48
388,2.98,87.58
389,2.42,89.49
390,2.9,87.76
391,2.65,88.66
392,2.5,89.29
393,2.51,89.45
394,3.05,87.4
395,2.77,88.59
396,2.37,89.89
397,2.2,90.78
398,2.8,88.56
399,2.53,89.52
400,2.79,88.69
401,2.2,90.68
402,2.06,91.39
403,2.14,91.01
404,2.17,91.13
