epoch,test_loss,test_accuracy
1,4.47,9.8
2,3.48,10.1
3,2.87,11.44
4,2.24,30.09
5,2.28,36.59
6,3.2,39.39
7,3.39,42.31
8,4.4,41.93
9,5.13,45.6
10,5.24,46.02
11,5.88,45.73
12,6.31,48.77
13,6.03,49.02
14,6.55,50.44
15,6.85,50.68
16,6.42,53.04
17,6.9,53.3
18,6.08,55.55
19,7.36,54.36
20,6.29,57.67
21,7.3,57.16
22,6.79,58.28
23,7.14,58.56
24,7.21,59.22
25,6.78,62.51
26,7.18,59.54
27,7.2,62.69
28,6.35,62.16
29,7.15,63.67
30,7.04,61.68
31,6.96,63.83
32,6.45,64.96
33,7.55,64.27
34,6.85,64.25
35,6.47,66.37
36,7.13,64.75
37,6.55,66.98
38,6.66,65.98
39,6.46,67.25
40,6.8,67.5
41,6.85,68.26
42,7.41,67.98
43,6.28,68.95
44,6.88,68.97
45,6.95,69.15
46,6.39,70.64
47,6.94,69.6
48,7.38,70.8
49,6.91,70.87
50,6.28,72.19
51,6.91,71.35
52,7.2,72.72
53,6.26,73.29
54,6.43,72.21
55,6.79,72.78
56,6.12,72.99
57,6.68,73.13
58,6.3,73.52
59,6.13,74.52
60,5.71,74.9
61,6.83,73.73
62,5.61,75.71
63,6.6,74.83
64,5.68,75.54
65,6.86,74.63
66,5.84,75.3
67,6.27,74.87
68,6.54,74.87
69,6.61,74.91
70,6.13,75.39
71,6.18,75.92
72,5.93,75.54
73,5.95,75.75
74,6.01,75.27
75,5.36,77.03
76,6.12,75.34
77,5.41,76.5
78,5.83,76.21
79,5.64,76.8
80,5.67,75.39
81,5.58,76.6
82,4.76,78.03
83,5.6,76.62
84,5.17,76.49
85,4.99,77.87
86,4.83,77.38
87,5.66,76.81
88,5.83,76.54
89,5.4,77.59
90,5.46,77.47
91,4.69,78.65
92,4.91,78.31
93,5.11,78.24
94,4.76,78.52
95,4.78,78.66
96,5.66,77.17
97,5.56,77.78
98,4.85,78.82
99,5.0,78.41
100,5.12,78.36
101,5.51,77.99
102,5.46,78.12
103,6.19,77.68
104,5.2,78.98
105,5.91,77.86
106,4.89,79.25
107,5.54,78.13
108,5.66,77.64
109,5.53,78.15
110,5.25,78.13
111,4.95,79.31
112,5.47,77.84
113,5.45,77.88
114,5.86,77.54
115,5.93,77.74
116,4.88,79.26
117,5.16,78.59
118,6.56,77.57
119,4.79,79.31
120,5.09,78.86
121,5.74,77.76
122,6.01,78.13
123,5.96,77.54
124,5.29,78.98
125,5.02,79.58
126,5.06,79.96
127,5.12,79.37
