epoch,test_loss,test_accuracy
1,2.93,19.33
2,2.59,20.97
3,2.45,34.38
4,2.58,32.23
5,2.57,45.37
6,3.47,40.47
7,3.05,50.22
8,3.46,46.99
9,3.71,49.9
10,3.01,51.83
11,3.44,52.86
12,3.41,54.13
13,2.81,58.68
14,3.71,57.72
15,3.04,59.78
16,3.11,61.0
17,2.64,64.79
18,2.86,62.58
19,2.67,68.9
20,3.14,63.03
21,2.37,70.56
22,2.87,66.93
23,2.11,73.39
24,2.72,69.32
25,2.21,73.43
26,2.35,72.14
27,2.25,74.23
28,2.12,74.79
29,2.19,76.25
30,2.18,74.87
31,1.78,78.75
32,1.9,77.77
33,1.99,77.68
34,1.77,79.51
35,1.74,80.33
36,1.74,79.75
37,1.9,80.06
38,1.49,82.71
39,1.86,80.32
40,1.75,80.3
41,1.47,83.63
42,1.64,81.84
43,1.47,83.94
44,1.63,82.32
45,1.69,82.7
46,1.58,83.25
47,1.37,84.94
48,1.59,83.55
49,1.56,83.45
50,1.39,85.27
51,1.46,84.78
52,1.51,84.6
53,1.31,86.14
54,1.49,85.1
55,1.51,84.62
56,1.42,85.76
57,1.41,85.72
58,1.44,85.72
59,1.44,85.61
60,1.59,85.19
61,1.4,86.23
62,1.49,85.5
63,1.11,87.99
64,1.35,86.86
65,1.38,86.68
66,1.37,86.94
67,1.21,87.9
68,1.23,87.97
69,1.13,88.52
70,1.25,87.8
71,1.22,88.23
72,1.13,88.96
73,1.1,88.99
74,1.21,88.23
75,1.14,88.71
76,1.21,88.21
77,1.2,88.53
78,1.13,89.08
79,1.06,89.51
80,1.21,88.24
81,1.02,89.91
82,1.11,89.32
83,1.23,88.63
84,1.12,89.38
85,1.28,88.61
86,1.02,90.21
87,1.1,89.95
88,1.15,89.46
89,1.0,90.53
90,1.17,89.48
91,0.98,90.59
92,1.07,90.09
93,1.01,90.56
94,1.01,90.85
95,1.06,90.19
96,1.05,90.55
97,1.08,90.34
98,0.92,91.46
99,1.01,90.73
100,1.0,90.8
101,1.14,89.98
102,1.06,89.97
103,1.09,90.25
104,0.98,90.72
105,1.08,89.77
106,0.85,91.73
107,1.01,90.47
108,0.94,91.29
109,1.11,90.17
110,0.84,91.99
111,1.12,90.21
112,0.92,91.59
113,1.17,90.29
114,0.96,91.28
115,1.1,90.51
116,1.11,90.34
117,0.88,91.87
118,1.02,90.97
119,0.97,91.23
120,1.06,91.18
121,0.88,91.8
122,1.08,91.07
123,0.9,91.8
124,0.96,92.0
125,0.91,92.03
126,1.03,91.47
127,0.82,92.42
128,0.99,91.53
129,0.85,92.46
130,0.92,91.99
131,0.9,92.02
132,0.87,92.22
133,0.9,91.89
134,0.86,92.22
135,0.85,92.47
136,1.06,91.02
137,0.95,92.15
138,0.9,92.11
139,0.94,92.08
140,0.87,92.55
141,0.96,92.41
142,0.95,92.07
143,1.05,91.62
144,0.93,92.02
145,1.1,91.46
146,0.94,92.01
147,1.19,90.84
148,0.97,92.07
149,0.98,91.86
150,0.98,91.73
151,1.0,92.12
152,0.81,93.01
153,1.06,91.72
154,0.77,93.04
155,0.97,92.11
156,0.84,92.91
157,0.89,92.59
158,0.88,92.66
159,0.82,93.14
160,0.87,92.73
161,0.84,93.1
162,0.98,91.95
163,0.75,93.55
164,0.87,93.01
165,0.69,94.02
166,0.9,92.7
167,0.81,93.46
168,0.81,93.62
169,0.89,92.99
170,0.75,93.9
171,0.9,92.93
172,0.9,92.63
173,1.05,92.07
174,0.86,93.21
175,0.92,92.97
