epoch,test_loss,test_accuracy
1,2.3,10.0
2,2.21,10.21
3,2.12,20.76
4,1.94,28.19
5,1.91,29.76
6,2.08,32.05
7,2.43,32.64
8,2.43,33.58
9,2.6,33.37
10,2.61,34.78
11,2.74,37.83
12,2.7,37.17
13,2.98,38.47
14,2.85,39.84
15,3.12,40.18
16,2.89,41.36
17,3.0,44.31
18,3.11,43.73
19,3.12,44.38
20,3.05,46.98
21,3.39,45.25
22,3.28,47.43
23,3.42,48.5
24,3.39,48.84
25,3.46,49.43
26,3.42,49.64
27,3.5,50.26
28,3.47,52.02
29,3.8,50.16
30,3.75,49.97
31,3.81,51.29
32,3.64,51.72
33,3.62,52.36
34,3.6,52.7
35,3.58,52.71
36,3.67,52.16
37,3.72,53.21
38,3.94,53.76
39,3.96,53.3
40,4.02,53.06
41,3.88,54.01
42,4.18,52.41
43,4.21,52.62
44,3.96,54.33
45,4.05,53.83
46,4.0,54.41
47,4.0,54.91
48,4.26,54.36
49,3.93,55.79
50,4.18,54.47
51,4.29,54.13
52,4.3,55.02
53,4.1,56.31
54,4.33,54.62
55,4.47,54.11
56,4.28,54.38
57,4.24,55.14
58,4.23,55.84
59,4.24,55.7
60,4.21,57.46
61,3.96,59.95
62,4.25,57.3
63,4.21,58.65
64,4.31,57.83
65,4.14,58.95
66,4.27,57.65
67,4.14,59.51
68,4.26,59.5
69,4.36,58.03
70,4.39,59.13
71,4.04,60.43
72,4.15,60.8
73,4.22,60.52
74,4.16,61.03
75,4.05,61.77
76,4.16,61.69
77,4.29,60.88
78,4.36,59.98
79,4.06,62.35
80,4.26,60.74
81,4.38,60.99
82,4.1,62.94
83,4.27,62.85
84,4.29,62.02
85,4.64,61.2
86,4.5,61.93
87,4.51,61.74
88,4.52,61.81
89,4.44,62.51
90,4.3,62.94
91,4.49,63.22
92,4.52,62.2
93,4.36,62.8
94,4.44,62.88
95,4.53,61.81
96,4.54,61.71
97,4.37,63.49
98,4.69,62.07
99,4.47,63.33
100,4.59,63.67
101,4.38,62.55
102,4.4,64.4
103,4.57,63.42
104,4.63,63.51
105,4.68,63.45
106,4.64,63.18
107,4.7,64.07
108,4.44,64.48
109,4.71,63.77
110,4.74,63.96
111,4.72,63.73
112,4.9,63.61
113,4.73,64.12
114,4.75,64.11
115,4.92,63.73
116,4.99,63.84
117,4.83,64.44
118,4.76,65.11
119,4.83,65.06
120,5.0,64.52
121,4.73,65.5
122,4.95,64.88
123,4.99,64.91
124,4.87,64.99
125,4.83,65.04
126,4.68,65.7
127,4.67,65.11
128,4.74,65.5
129,4.81,64.72
130,4.71,65.09
131,4.75,64.74
132,5.06,64.57
133,4.75,65.21
134,5.05,64.56
135,5.12,64.81
136,5.24,63.58
137,5.15,64.61
138,4.98,65.93
139,5.1,64.91
140,4.99,65.34
141,4.98,65.12
142,4.96,65.25
143,4.95,65.77
144,4.9,65.57
145,4.84,66.14
146,4.91,66.37
147,4.68,66.33
148,5.15,64.57
149,5.05,65.19
150,5.04,65.38
151,5.03,65.66
152,5.21,65.03
153,5.13,66.0
154,4.93,66.3
155,5.21,66.07
156,5.25,66.12
157,5.07,65.68
158,5.17,66.15
159,5.06,66.77
160,5.13,66.02
161,5.21,65.94
162,5.29,65.69
163,5.3,65.9
164,5.42,65.28
165,5.2,65.56
166,5.12,65.07
167,4.93,66.54
168,5.18,65.81
169,5.13,66.17
170,5.08,65.97
171,5.27,65.48
172,5.28,65.4
173,5.3,65.24
174,5.48,65.35
175,5.53,65.15
176,5.48,66.35
177,5.58,65.33
178,5.64,65.91
179,5.45,66.27
180,5.64,65.49
181,5.32,66.02
182,5.77,64.69
183,5.36,65.35
184,5.47,65.8
185,5.23,66.99
186,5.41,66.17
187,5.19,66.5
188,5.33,66.81
189,5.15,66.75
190,5.17,66.74
191,5.2,67.55
192,5.22,67.47
193,5.19,67.44
194,5.34,66.29
195,5.45,65.97
196,4.93,67.51
197,5.22,67.1
198,5.22,67.28
199,5.15,66.82
200,5.01,67.44
201,5.22,66.32
202,4.99,67.19
203,5.22,66.45
204,5.16,66.43
205,5.08,66.45
206,5.15,66.24
207,4.91,67.7
208,5.14,67.03
209,5.07,67.74
210,5.34,67.17
