epoch,test_loss,test_accuracy
1,2.32,9.81
2,2.36,10.08
3,2.45,9.99
4,2.49,9.8
5,2.49,10.46
6,2.5,12.99
7,2.47,17.11
8,2.4,20.72
9,2.33,30.69
10,2.24,36.99
11,2.14,42.26
12,2.05,46.37
13,1.98,48.97
14,1.92,50.57
15,1.88,51.62
16,1.86,52.17
17,1.85,52.49
18,1.85,53.01
19,1.86,53.49
20,1.87,53.93
21,1.88,54.28
22,1.9,54.83
23,1.91,55.07
24,1.92,55.39
25,1.94,55.85
26,1.96,56.25
27,1.97,56.61
28,1.98,57.0
29,1.99,57.44
30,2.0,57.79
31,2.0,58.15
32,2.01,58.58
33,2.01,58.83
34,2.01,59.12
35,2.01,59.32
36,2.01,59.51
37,2.01,59.85
38,2.01,60.12
39,2.0,60.48
40,2.0,60.81
41,2.0,61.03
42,1.99,61.27
43,1.99,61.53
44,1.98,61.77
45,1.98,61.99
46,1.97,62.08
47,1.96,62.22
48,1.96,62.37
49,1.95,62.61
50,1.94,62.88
51,1.94,63.08
52,1.93,63.21
53,1.92,63.36
54,1.91,63.49
55,1.91,63.64
56,1.9,63.77
57,1.89,63.97
58,1.88,64.14
59,1.88,64.23
60,1.87,64.39
61,1.86,64.53
62,1.85,64.7
63,1.84,64.77
64,1.83,64.92
65,1.82,65.08
66,1.82,65.14
67,1.81,65.26
68,1.8,65.5
69,1.79,65.65
70,1.78,65.74
71,1.77,65.87
72,1.76,65.98
73,1.75,66.0
74,1.75,66.11
75,1.74,66.19
76,1.73,66.28
77,1.72,66.41
78,1.71,66.53
79,1.7,66.8
80,1.69,66.89
81,1.68,66.96
82,1.68,67.07
83,1.67,67.12
84,1.66,67.15
85,1.65,67.31
86,1.64,67.38
87,1.63,67.46
88,1.63,67.61
89,1.62,67.69
90,1.61,67.79
91,1.6,67.87
92,1.59,67.99
93,1.59,68.12
94,1.58,68.22
95,1.57,68.36
96,1.56,68.5
97,1.55,68.61
98,1.55,68.77
99,1.54,68.93
100,1.53,69.06
101,1.53,69.19
102,1.52,69.38
103,1.51,69.56
104,1.5,69.69
105,1.5,69.76
106,1.49,69.87
107,1.48,70.04
108,1.48,70.19
109,1.47,70.29
110,1.46,70.46
111,1.46,70.55
112,1.45,70.72
113,1.45,70.84
114,1.44,71.07
115,1.43,71.27
116,1.43,71.5
117,1.42,71.65
118,1.41,71.76
119,1.41,71.9
120,1.4,72.02
121,1.4,72.09
122,1.4,72.23
123,1.39,72.38
124,1.38,72.52
125,1.38,72.63
126,1.37,72.81
127,1.37,72.92
128,1.36,73.05
129,1.36,73.11
130,1.35,73.27
131,1.35,73.28
132,1.34,73.43
133,1.34,73.56
134,1.33,73.69
135,1.33,73.8
136,1.32,73.87
137,1.32,74.02
138,1.31,74.25
139,1.31,74.43
140,1.3,74.56
141,1.3,74.63
142,1.29,74.8
143,1.29,74.88
144,1.28,74.94
145,1.28,75.09
146,1.27,75.19
147,1.27,75.32
148,1.26,75.46
149,1.26,75.52
150,1.25,75.57
151,1.25,75.62
152,1.24,75.69
153,1.24,75.81
154,1.23,75.95
155,1.23,76.03
156,1.23,76.12
157,1.22,76.25
158,1.22,76.31
159,1.21,76.41
160,1.21,76.48
161,1.2,76.56
162,1.2,76.64
163,1.19,76.69
164,1.19,76.8
165,1.18,76.87
166,1.18,76.9
167,1.17,76.98
168,1.17,77.07
169,1.17,77.13
170,1.16,77.23
171,1.16,77.34
172,1.15,77.46
173,1.15,77.54
174,1.14,77.63
175,1.14,77.76
176,1.14,77.87
177,1.13,77.93
178,1.13,78.04
179,1.12,78.13
180,1.12,78.18
181,1.12,78.3
182,1.11,78.45
183,1.11,78.51
184,1.1,78.62
185,1.1,78.72
186,1.1,78.82
187,1.09,78.87
188,1.09,78.94
189,1.08,79.05
190,1.08,79.15
191,1.08,79.25
192,1.07,79.36
193,1.07,79.48
194,1.07,79.57
195,1.06,79.64
196,1.06,79.7
197,1.05,79.82
198,1.05,79.81
199,1.05,79.9
200,1.05,80.0
