epoch,test_loss,test_accuracy
1,2.58,14.02
2,2.36,18.74
3,1.95,40.09
4,2.26,29.56
5,2.49,43.97
6,2.96,46.73
7,3.23,52.84
8,4.11,52.16
9,3.56,59.06
10,4.33,58.32
11,4.15,61.07
12,4.25,65.08
13,4.17,64.72
14,3.81,66.99
15,4.08,67.26
16,4.11,68.65
17,4.0,69.36
18,3.52,70.17
19,3.7,71.35
20,3.95,71.82
21,3.55,72.43
22,3.59,72.39
23,3.81,72.45
24,3.57,73.73
25,3.26,73.16
26,3.46,74.19
27,3.34,74.46
28,3.22,74.92
29,3.23,74.46
30,3.15,74.99
31,3.39,75.17
32,2.93,76.95
33,3.19,76.13
34,3.11,76.62
35,3.14,77.62
36,2.73,78.41
37,2.87,78.54
38,2.88,78.78
39,2.67,78.75
40,2.69,79.95
41,2.81,79.72
42,2.55,80.7
43,2.88,80.28
44,2.56,80.99
45,2.5,81.62
46,2.47,81.82
47,2.88,80.9
48,2.59,81.04
49,2.72,81.48
50,2.59,81.7
51,2.68,81.4
52,2.61,82.24
53,2.32,83.22
54,2.45,83.05
55,2.54,83.0
56,2.58,82.45
57,2.68,82.18
58,2.39,82.92
59,2.94,81.21
60,2.5,83.2
61,2.66,82.69
62,2.33,84.08
63,2.2,84.85
64,3.06,81.72
65,2.53,83.76
66,2.4,84.32
67,2.77,83.33
68,2.47,83.69
69,2.52,84.35
70,2.49,84.37
71,2.79,83.08
72,2.5,83.62
73,2.32,84.57
74,2.4,83.77
75,2.1,85.45
76,2.24,84.7
77,2.61,83.06
78,2.34,84.24
79,2.34,84.84
80,2.3,85.44
81,2.27,85.0
82,2.41,84.57
83,2.48,84.62
84,2.47,84.59
85,2.47,84.38
86,2.7,83.66
87,2.31,85.47
88,2.45,84.86
89,2.24,85.48
90,2.13,85.92
91,2.11,86.39
92,2.29,85.41
93,2.49,84.55
94,2.4,85.46
95,2.41,84.55
96,2.36,85.11
97,2.29,85.32
98,2.38,84.86
99,2.12,86.31
100,2.29,84.64
101,2.48,84.87
102,2.4,85.24
103,2.41,85.41
104,2.19,86.09
105,2.3,85.94
106,2.16,86.42
107,2.15,86.61
108,2.2,86.42
109,2.25,86.41
110,2.07,87.09
111,1.91,88.18
112,2.2,87.03
113,2.02,87.69
114,2.13,87.31
115,1.96,87.97
116,2.21,86.91
117,2.37,86.31
118,2.15,87.02
119,2.17,87.19
120,1.92,88.54
121,2.21,86.7
122,2.09,87.64
123,2.07,87.7
124,1.97,87.75
125,2.35,86.18
126,2.1,87.6
127,2.2,86.98
128,2.33,86.44
129,1.7,89.33
130,2.0,87.76
131,1.98,87.88
132,2.2,86.99
133,2.05,87.22
134,2.61,85.25
135,1.7,89.21
136,2.22,86.8
137,2.19,87.01
138,1.99,88.0
139,2.2,86.73
140,2.0,87.84
141,2.12,87.28
