epoch,test_loss,test_accuracy
1,3.22,9.87
2,4.39,10.33
3,3.64,17.8
4,4.12,18.68
5,3.81,18.18
6,3.75,28.78
7,3.52,24.51
8,6.32,23.33
9,7.78,21.57
10,8.38,19.95
11,4.05,42.25
12,4.2,39.72
13,6.89,31.99
14,4.94,38.23
15,4.17,42.57
16,4.14,44.74
17,4.29,49.19
18,3.73,54.7
19,7.53,37.02
20,4.87,48.44
21,3.86,53.45
22,3.71,54.82
23,7.37,34.82
24,5.33,52.47
25,4.48,48.5
26,4.82,55.34
27,6.24,41.16
28,2.66,61.46
29,3.8,57.7
30,2.77,64.15
31,3.08,62.47
32,3.37,59.83
33,3.34,63.45
34,4.07,58.82
35,3.45,59.48
36,4.23,57.64
37,2.22,70.08
38,3.42,63.93
39,3.98,63.79
40,2.29,69.5
41,3.21,63.96
42,4.43,63.93
43,1.76,74.68
44,3.31,70.57
45,3.13,67.65
46,3.16,68.44
47,3.09,67.34
48,3.87,64.16
49,2.76,68.96
50,2.69,71.02
51,3.7,67.1
52,2.15,75.18
53,2.72,71.99
54,2.37,74.11
55,1.88,77.2
56,3.18,71.78
57,2.51,74.8
58,2.71,72.21
59,2.28,74.92
60,1.99,77.11
61,2.36,75.27
62,2.61,75.22
63,1.89,77.96
64,3.35,73.97
65,2.38,75.8
66,2.44,76.06
67,2.59,76.88
68,2.02,77.51
69,2.29,76.49
70,3.88,67.8
71,2.24,76.44
72,3.5,71.0
73,1.95,79.03
74,2.1,78.66
75,2.51,75.1
76,2.59,75.77
77,2.5,75.55
78,2.55,76.17
79,2.51,78.62
80,2.73,74.49
81,1.73,81.24
82,2.09,79.79
83,2.36,76.63
84,2.16,78.99
85,2.84,76.53
86,2.76,75.55
87,1.35,84.38
88,1.89,81.3
89,1.33,84.66
90,2.15,79.76
91,2.83,74.78
92,2.56,77.37
93,1.58,83.14
94,2.62,76.18
95,1.69,83.09
96,2.19,80.79
97,1.61,83.33
98,2.23,80.77
99,2.43,79.48
100,2.08,80.93
101,1.7,82.31
102,2.24,81.05
103,1.96,82.43
104,1.86,81.67
105,2.25,80.39
106,2.35,79.77
107,2.28,80.85
108,2.24,79.86
109,1.6,84.49
110,1.89,83.16
111,2.3,81.28
112,1.89,83.07
113,1.84,83.66
114,2.03,81.8
115,2.04,82.38
116,2.25,81.65
117,2.89,76.36
118,2.53,79.17
119,2.05,82.22
120,2.32,80.37
121,1.7,84.58
122,2.04,82.51
123,1.58,85.21
124,2.51,79.79
125,1.58,85.05
126,2.45,79.42
127,1.65,84.97
128,3.34,75.42
129,1.79,83.8
130,3.03,77.1
131,1.8,83.62
132,1.55,85.19
133,2.09,82.9
134,2.6,79.69
135,2.21,81.63
136,1.95,83.35
137,1.77,84.16
138,1.84,83.82
139,2.05,82.28
140,2.59,82.28
141,2.45,80.52
142,1.84,84.59
143,1.79,84.88
144,1.92,83.64
145,1.76,85.18
146,1.89,84.11
147,1.96,84.34
148,2.27,82.0
149,1.56,86.54
150,1.41,87.86
151,1.88,85.03
152,2.65,82.93
153,1.6,86.56
154,1.47,87.52
155,2.41,81.84
156,1.6,85.39
157,1.48,87.62
158,1.48,87.5
159,1.79,85.48
160,1.5,87.2
161,1.63,85.89
162,1.9,84.17
163,1.3,88.46
164,2.88,80.87
165,1.73,85.84
166,2.45,82.07
167,2.13,84.43
168,2.47,82.06
169,1.28,88.67
170,2.09,84.12
171,1.67,86.13
172,1.74,86.45
173,2.14,84.16
174,1.63,86.85
175,1.68,85.72
176,1.62,86.82
177,1.43,88.1
178,1.39,87.72
179,1.89,84.98
180,1.56,87.82
181,2.58,82.13
182,1.92,85.2
183,1.78,85.93
184,1.74,86.73
185,1.93,85.83
186,1.95,85.65
187,1.71,87.12
188,1.61,87.93
189,1.51,87.68
190,1.73,87.34
191,1.6,87.7
192,1.52,87.47
193,2.45,83.35
194,1.6,87.35
195,1.76,87.05
196,1.58,88.07
197,2.44,83.5
198,1.57,87.85
199,1.98,86.15
200,1.37,89.4
201,1.4,89.19
202,1.61,87.84
203,1.85,87.4
204,2.17,85.24
205,1.41,89.1
206,1.42,88.82
207,2.07,85.29
208,1.58,87.64
209,1.43,89.29
210,1.7,87.03
211,2.27,85.0
212,1.9,86.93
213,1.55,89.02
214,1.5,88.81
215,1.47,89.03
216,2.03,85.77
217,2.0,86.47
218,1.46,89.45
219,1.68,88.09
220,1.98,85.75
221,1.76,87.5
222,1.4,88.98
223,1.48,88.53
224,1.66,88.16
225,2.32,84.76
226,1.61,88.23
227,1.36,89.22
228,2.03,85.77
229,1.37,89.7
230,1.32,89.91
231,2.02,86.31
232,1.44,89.18
233,1.53,88.91
234,1.49,88.9
235,2.13,85.54
236,1.73,87.81
237,1.66,88.1
238,1.63,87.97
239,1.47,88.9
240,1.47,89.13
241,1.81,87.98
242,1.37,90.11
243,1.8,87.42
244,1.35,90.11
245,1.78,87.81
246,1.57,89.07
247,1.54,89.93
248,1.75,88.02
249,1.43,90.49
250,1.4,90.45
251,1.41,90.19
252,1.4,90.06
253,1.52,89.79
254,1.54,90.14
255,1.28,91.43
256,1.24,91.11
257,1.59,89.46
258,1.89,87.38
259,1.22,90.92
260,1.66,88.87
261,1.45,90.53
262,1.8,87.97
263,1.46,89.6
264,1.39,90.58
265,1.83,87.86
266,1.92,87.21
267,1.43,90.32
268,1.56,89.31
269,1.47,90.22
270,1.84,88.94
271,1.78,88.16
272,2.16,85.76
273,2.26,86.46
274,1.89,87.66
275,1.77,88.61
276,1.48,90.01
277,1.85,87.68
278,1.14,91.91
279,1.48,88.89
280,1.71,87.97
281,1.37,90.38
282,1.45,89.92
283,1.45,89.83
284,1.56,89.35
285,1.48,89.28
286,1.27,91.03
287,1.6,89.66
288,1.56,90.08
289,1.84,87.91
290,1.58,89.55
291,1.5,90.33
292,1.67,89.84
293,1.68,89.46
294,1.58,90.12
295,1.57,89.83
296,1.7,89.26
297,1.69,88.92
298,1.67,88.8
299,1.49,90.35
300,1.4,90.99
301,1.36,90.81
302,1.44,90.82
303,1.4,90.62
304,1.32,91.4
305,1.31,91.29
306,1.42,90.92
307,1.7,90.03
308,1.89,88.31
309,1.8,88.6
310,1.6,89.14
311,1.68,88.82
312,1.31,91.38
313,1.51,90.84
314,1.25,91.62
315,1.45,90.43
316,1.32,91.7
317,1.45,90.71
318,1.52,90.46
319,1.49,90.67
320,1.74,89.67
321,1.52,90.3
322,1.44,90.32
323,1.68,90.03
324,1.8,89.04
325,1.7,90.16
326,2.16,88.05
327,1.84,89.47
328,1.68,89.56
329,1.86,88.35
330,1.6,89.75
331,1.55,90.05
332,2.25,86.73
333,1.64,89.21
334,1.61,89.96
335,1.71,89.08
336,1.92,88.18
337,1.88,88.48
338,1.63,89.62
339,1.54,90.7
340,1.62,89.56
341,1.55,90.56
342,1.6,89.73
343,1.99,88.55
344,1.91,88.6
345,1.41,91.17
346,2.22,86.9
347,1.88,88.75
348,1.27,91.78
349,1.53,90.11
350,1.92,88.5
351,1.35,91.6
352,1.61,89.79
353,1.23,92.2
354,1.36,91.77
355,1.81,89.58
356,1.73,89.96
357,1.98,87.94
358,1.37,91.29
359,1.39,91.22
360,1.53,90.56
361,2.09,88.16
362,2.48,87.3
363,2.18,87.97
364,1.76,89.61
365,1.62,90.08
366,1.67,89.85
367,1.43,91.12
368,1.61,90.32
369,1.48,90.77
370,1.88,88.98
371,1.69,89.95
372,1.56,90.87
373,1.67,90.47
374,1.76,90.36
375,1.61,90.67
376,1.92,89.5
377,1.54,91.16
378,2.35,88.01
379,1.71,90.64
380,1.61,90.97
381,1.52,91.39
382,1.9,89.66
383,1.77,89.54
384,1.36,91.56
385,1.66,90.39
386,1.66,90.13
387,1.49,91.02
388,1.33,91.94
389,1.59,90.36
390,1.27,92.34
391,1.52,91.09
392,1.72,90.31
393,1.38,91.68
394,1.54,91.41
395,1.49,91.17
396,1.49,91.29
397,1.95,89.52
398,1.8,90.27
399,1.41,91.88
400,1.71,90.6
401,1.45,91.8
402,1.36,92.39
403,1.59,90.96
404,2.11,88.6
405,1.71,90.7
406,1.81,90.3
407,1.44,92.38
408,2.18,88.53
409,1.84,90.47
410,1.88,89.91
411,2.44,87.19
412,2.02,89.07
413,2.08,89.12
414,3.04,84.85
415,1.3,92.48
416,1.69,90.6
417,1.66,90.95
418,1.63,90.73
419,1.41,91.56
420,1.46,91.25
421,2.01,88.82
422,2.63,85.9
423,1.45,92.11
424,1.76,90.28
425,1.83,89.92
426,1.3,92.7
427,1.78,90.71
428,1.84,89.71
429,1.52,91.39
430,1.56,91.22
431,1.38,92.09
432,1.64,91.12
433,1.59,91.44
434,1.97,89.9
435,1.78,90.49
436,1.54,91.77
437,1.36,92.7
438,1.98,89.65
439,1.52,92.29
440,1.68,91.66
441,1.77,91.17
442,1.52,92.08
443,2.09,89.54
444,1.67,91.38
445,2.14,89.88
446,1.69,91.21
447,1.77,90.84
448,1.51,91.82
449,1.91,90.4
450,1.66,90.9
451,1.27,92.75
452,1.87,90.31
453,1.37,92.22
454,1.52,91.71
455,2.02,89.63
456,1.81,90.49
457,1.52,91.86
458,1.66,91.26
459,1.64,91.48
460,1.75,90.5
461,1.53,91.69
462,1.68,90.8
463,1.47,92.0
464,2.02,89.76
465,1.87,90.32
466,1.56,91.42
467,1.96,89.58
468,2.07,89.55
469,1.87,90.3
470,1.64,91.43
471,1.88,90.24
472,1.68,91.3
473,1.62,91.44
474,1.91,89.58
475,1.93,89.64
476,1.79,90.44
477,1.99,89.62
478,1.62,91.2
479,2.26,88.17
480,2.38,87.8
481,1.49,91.69
482,2.06,89.3
483,1.59,91.4
484,2.04,89.35
485,2.33,88.67
486,1.73,90.72
487,1.59,91.84
488,1.69,91.3
489,1.61,91.8
490,1.99,90.38
491,2.09,90.12
492,2.44,88.85
493,2.54,88.02
494,2.31,88.93
495,2.63,88.28
496,2.17,89.98
497,2.23,89.87
498,2.17,90.35
499,2.23,90.22
500,1.82,91.32
