epoch,test_loss,test_accuracy
1,2.33,8.31
2,2.37,10.38
3,2.57,10.13
4,2.75,10.1
5,2.77,15.98
6,2.76,9.74
7,2.67,10.74
8,2.57,14.62
9,2.46,19.38
10,2.35,27.18
11,2.25,33.59
12,2.15,37.23
13,2.05,40.09
14,1.95,42.76
15,1.86,44.7
16,1.79,46.14
17,1.74,47.73
18,1.7,48.82
19,1.68,49.95
20,1.67,51.04
21,1.67,51.9
22,1.67,52.76
23,1.68,53.49
24,1.69,54.03
25,1.7,54.65
26,1.72,54.98
27,1.73,55.56
28,1.74,55.95
29,1.75,56.21
30,1.78,56.3
31,1.79,56.51
32,1.8,56.78
33,1.8,57.08
34,1.81,57.4
35,1.81,57.72
36,1.81,57.96
37,1.81,58.17
38,1.81,58.41
39,1.81,58.62
40,1.81,58.84
41,1.81,59.09
42,1.81,59.25
43,1.8,59.47
44,1.8,59.73
45,1.8,59.93
46,1.79,60.13
47,1.79,60.39
48,1.79,60.64
49,1.79,60.83
50,1.78,61.05
51,1.78,61.27
52,1.77,61.49
53,1.77,61.66
54,1.77,61.85
55,1.76,62.12
56,1.76,62.32
57,1.75,62.51
58,1.75,62.69
59,1.74,62.81
60,1.74,63.0
61,1.73,63.2
62,1.73,63.45
63,1.73,63.6
64,1.72,63.81
65,1.72,64.02
66,1.71,64.18
67,1.71,64.33
68,1.7,64.48
69,1.7,64.63
70,1.7,64.8
71,1.69,64.95
72,1.68,65.08
73,1.68,65.17
74,1.67,65.3
75,1.67,65.36
76,1.67,65.55
77,1.66,65.68
78,1.66,65.79
79,1.65,65.89
80,1.65,66.07
81,1.64,66.18
82,1.64,66.31
83,1.63,66.43
84,1.63,66.56
85,1.62,66.68
86,1.62,66.86
87,1.62,66.98
88,1.61,67.12
89,1.6,67.23
90,1.6,67.4
91,1.6,67.53
92,1.59,67.64
93,1.59,67.8
94,1.58,67.92
95,1.58,68.09
96,1.58,68.21
97,1.57,68.25
98,1.57,68.28
99,1.56,68.37
100,1.56,68.56
