round,epsilon,delta,opt_order
1,0.8965118060611654,1.1000000000000001e-05,10
2,0.913831930864069,1.1000000000000001e-05,10
3,0.9314866711412586,1.1000000000000001e-05,10
4,0.9494824914833135,1.1000000000000001e-05,10
5,0.9678259813732176,1.1000000000000001e-05,10
6,0.9689592277531932,1.1000000000000001e-05,9
7,0.9698227912795105,1.1000000000000001e-05,9
8,0.9706871244377612,1.1000000000000001e-05,9
9,0.9715522279138628,1.1000000000000001e-05,9
10,0.9724181023943443,1.1000000000000001e-05,9
11,0.9732847485663464,1.1000000000000001e-05,9
12,0.9741521671176218,1.1000000000000001e-05,9
13,0.9750203587365367,1.1000000000000001e-05,9
14,0.9758893241120705,1.1000000000000001e-05,9
15,0.9767590639338167,1.1000000000000001e-05,9
16,0.9776295788919837,1.1000000000000001e-05,9
17,0.978500869677394,1.1000000000000001e-05,9
18,0.9793729369814873,1.1000000000000001e-05,9
19,0.9802457814963184,1.1000000000000001e-05,9
20,0.9811194039145592,1.1000000000000001e-05,9
21,0.981993804929499,1.1000000000000001e-05,9
22,0.9828689852350448,1.1000000000000001e-05,9
23,0.9837449455257223,1.1000000000000001e-05,9
24,0.9846216864966759,1.1000000000000001e-05,9
25,0.98549920884367,1.1000000000000001e-05,9
26,0.9863775132630882,1.1000000000000001e-05,9
27,0.9872566004519359,1.1000000000000001e-05,9
28,0.9881364711078385,1.1000000000000001e-05,9
29,0.989017125929044,1.1000000000000001e-05,9
30,0.9898985656144225,1.1000000000000001e-05,9
31,0.9907807908634667,1.1000000000000001e-05,9
32,0.9916638023762929,1.1000000000000001e-05,9
33,0.9925476008536416,1.1000000000000001e-05,9
34,0.9934321869968773,1.1000000000000001e-05,9
35,0.9943175615079898,1.1000000000000001e-05,9
36,0.9952037250895948,1.1000000000000001e-05,9
37,0.9960906784449336,1.1000000000000001e-05,9
38,0.9969784222778749,1.1000000000000001e-05,9
39,0.9978669572929144,1.1000000000000001e-05,9
40,0.9987562841951758,1.1000000000000001e-05,9
41,0.9996464036904108,1.1000000000000001e-05,9
42,1.0005373164850007,1.1000000000000001e-05,9
43,1.0014290232859555,1.1000000000000001e-05,9
44,1.0023215248009165,1.1000000000000001e-05,9
45,1.003214821738155,1.1000000000000001e-05,9
46,1.004108914806573,1.1000000000000001e-05,9
47,1.005003804715705,1.1000000000000001e-05,9
48,1.0058994921757178,1.1000000000000001e-05,9
49,1.0067959778974116,1.1000000000000001e-05,9
50,1.0076932625922186,1.1000000000000001e-05,9
51,1.0085913469722063,1.1000000000000001e-05,9
52,1.0094902317500765,1.1000000000000001e-05,9
53,1.0103899176391662,1.1000000000000001e-05,9
54,1.0112904053534482,1.1000000000000001e-05,9
55,1.012191695607531,1.1000000000000001e-05,9
56,1.0130937891166611,1.1000000000000001e-05,9
57,1.0139966865967214,1.1000000000000001e-05,9
58,1.0149003887642334,1.1000000000000001e-05,9
59,1.015804896336357,1.1000000000000001e-05,9
60,1.0167102100308913,1.1000000000000001e-05,9
61,1.0176163305662753,1.1000000000000001e-05,9
62,1.018523258661588,1.1000000000000001e-05,9
63,1.019430995036549,1.1000000000000001e-05,9
64,1.0203395404115203,1.1000000000000001e-05,9
65,1.0212488955075048,1.1000000000000001e-05,9
66,1.0221590610461486,1.1000000000000001e-05,9
67,1.0230700377497408,1.1000000000000001e-05,9
68,1.0239818263412146,1.1000000000000001e-05,9
69,1.0248944275441472,1.1000000000000001e-05,9
70,1.02580784208276,1.1000000000000001e-05,9
71,1.026722070681921,1.1000000000000001e-05,9
72,1.027637114067143,1.1000000000000001e-05,9
73,1.028552972964587,1.1000000000000001e-05,9
74,1.02946964810106,1.1000000000000001e-05,9
75,1.0303871402040166,1.1000000000000001e-05,9
76,1.0313054500015606,1.1000000000000001e-05,9
77,1.032224578222444,1.1000000000000001e-05,9
78,1.033144525596069,1.1000000000000001e-05,9
79,1.0340652928524867,1.1000000000000001e-05,9
80,1.0349868807223999,1.1000000000000001e-05,9
81,1.0359092899371622,1.1000000000000001e-05,9
82,1.0368325212287792,1.1000000000000001e-05,9
83,1.0377565753299087,1.1000000000000001e-05,9
84,1.0386814529738615,1.1000000000000001e-05,9
85,1.039607154894602,1.1000000000000001e-05,9
86,1.0405336818267488,1.1000000000000001e-05,9
87,1.0414610345055746,1.1000000000000001e-05,9
88,1.0423892136670083,1.1000000000000001e-05,9
89,1.0433182200476345,1.1000000000000001e-05,9
90,1.0442480543846937,1.1000000000000001e-05,9
91,1.0451787174160838,1.1000000000000001e-05,9
92,1.0461102098803605,1.1000000000000001e-05,9
93,1.0470425325167374,1.1000000000000001e-05,9
94,1.0479756860650873,1.1000000000000001e-05,9
