round,epsilon,delta,opt_order
1,0.8134365200624212,1.1000000000000001e-05,8
2,0.820634430649448,1.1000000000000001e-05,8
3,0.8278960338732583,1.1000000000000001e-05,8
4,0.8352218933351823,1.1000000000000001e-05,8
5,0.842612577623727,1.1000000000000001e-05,8
6,0.8500686603587071,1.1000000000000001e-05,8
7,0.8575907202357654,1.1000000000000001e-05,8
8,0.8651793410712884,1.1000000000000001e-05,8
9,0.8728351118477172,1.1000000000000001e-05,8
10,0.8805586267592622,1.1000000000000001e-05,8
11,0.8883504852580199,1.1000000000000001e-05,8
12,0.8962112921004989,1.1000000000000001e-05,8
13,0.9041416573945579,1.1000000000000001e-05,8
14,0.9121421966467577,1.1000000000000001e-05,8
15,0.9202135308101337,1.1000000000000001e-05,8
16,0.9283562863323904,1.1000000000000001e-05,8
17,0.9365710952045221,1.1000000000000001e-05,8
18,0.9448585950098647,1.1000000000000001e-05,8
19,0.9532194289735808,1.1000000000000001e-05,8
20,0.9616542460125822,1.1000000000000001e-05,8
21,0.9701637007858963,1.1000000000000001e-05,8
22,0.970978799224419,1.1000000000000001e-05,7
23,0.9717692231257226,1.1000000000000001e-05,7
24,0.9725602904704714,1.1000000000000001e-05,7
25,0.9733520017824595,1.1000000000000001e-05,7
26,0.9741443575859077,1.1000000000000001e-05,7
27,0.9749373584054631,1.1000000000000001e-05,7
28,0.9757310047662003,1.1000000000000001e-05,7
29,0.9765252971936212,1.1000000000000001e-05,7
30,0.9773202362136555,1.1000000000000001e-05,7
31,0.9781158223526606,1.1000000000000001e-05,7
32,0.9789120561374233,1.1000000000000001e-05,7
33,0.9797089380951584,1.1000000000000001e-05,7
34,0.9805064687535103,1.1000000000000001e-05,7
35,0.9813046486405528,1.1000000000000001e-05,7
36,0.9821034782847895,1.1000000000000001e-05,7
37,0.9829029582151543,1.1000000000000001e-05,7
38,0.9837030889610119,1.1000000000000001e-05,7
39,0.9845038710521574,1.1000000000000001e-05,7
40,0.9853053050188176,1.1000000000000001e-05,7
41,0.9861073913916512,1.1000000000000001e-05,7
42,0.9869101307017479,1.1000000000000001e-05,7
43,0.987713523480631,1.1000000000000001e-05,7
44,0.9885175702602553,1.1000000000000001e-05,7
45,0.9893222715730093,1.1000000000000001e-05,7
46,0.9901276279517149,1.1000000000000001e-05,7
47,0.9909336399296275,1.1000000000000001e-05,7
48,0.9917403080404366,1.1000000000000001e-05,7
49,0.9925476328182664,1.1000000000000001e-05,7
50,0.9933556147976758,1.1000000000000001e-05,7
51,0.9941642545136586,1.1000000000000001e-05,7
52,0.9949735525016445,1.1000000000000001e-05,7
53,0.9957835092974989,1.1000000000000001e-05,7
54,0.9965941254375231,1.1000000000000001e-05,7
55,0.9974054014584557,1.1000000000000001e-05,7
56,0.9982173378974715,1.1000000000000001e-05,7
57,0.9990299352921825,1.1000000000000001e-05,7
58,0.9998431941806399,1.1000000000000001e-05,7
59,1.0006571151013308,1.1000000000000001e-05,7
60,1.0014716985931817,1.1000000000000001e-05,7
61,1.0022869451955583,1.1000000000000001e-05,7
62,1.003102855448264,1.1000000000000001e-05,7
63,1.0039194298915428,1.1000000000000001e-05,7
64,1.004736669066078,1.1000000000000001e-05,7
65,1.005554573512993,1.1000000000000001e-05,7
66,1.0063731437738521,1.1000000000000001e-05,7
67,1.0071923803906602,1.1000000000000001e-05,7
68,1.008012283905863,1.1000000000000001e-05,7
69,1.0088328548623486,1.1000000000000001e-05,7
70,1.0096540938034466,1.1000000000000001e-05,7
71,1.0104760012729286,1.1000000000000001e-05,7
72,1.0112985778150094,1.1000000000000001e-05,7
73,1.0121218239743468,1.1000000000000001e-05,7
74,1.012945740296041,1.1000000000000001e-05,7
75,1.0137703273256375,1.1000000000000001e-05,7
76,1.0145955856091249,1.1000000000000001e-05,7
77,1.0154215156929363,1.1000000000000001e-05,7
78,1.01624811812395,1.1000000000000001e-05,7
79,1.0170753934494892,1.1000000000000001e-05,7
80,1.0179033422173225,1.1000000000000001e-05,7
81,1.018731964975665,1.1000000000000001e-05,7
82,1.0195612622731776,1.1000000000000001e-05,7
83,1.0203912346589674,1.1000000000000001e-05,7
84,1.02122188268259,1.1000000000000001e-05,7
85,1.0220532068940469,1.1000000000000001e-05,7
86,1.022885207843788,1.1000000000000001e-05,7
87,1.0237178860827107,1.1000000000000001e-05,7
88,1.0245512421621619,1.1000000000000001e-05,7
89,1.0253852766339362,1.1000000000000001e-05,7
90,1.0262199900502782,1.1000000000000001e-05,7
91,1.0270553829638818,1.1000000000000001e-05,7
92,1.0278914559278902,1.1000000000000001e-05,7
93,1.0287282094958983,1.1000000000000001e-05,7
94,1.0295656442219503,1.1000000000000001e-05,7
95,1.030403760660542,1.1000000000000001e-05,7
96,1.0312425593666206,1.1000000000000001e-05,7
97,1.032082040895585,1.1000000000000001e-05,7
98,1.032922205803286,1.1000000000000001e-05,7
99,1.0337630546460272,1.1000000000000001e-05,7
100,1.034604587980565,1.1000000000000001e-05,7
101,1.0354468063641087,1.1000000000000001e-05,7
102,1.036289710354322,1.1000000000000001e-05,7
103,1.0371333005093217,1.1000000000000001e-05,7
104,1.0379775773876792,1.1000000000000001e-05,7
105,1.0388225415484205,1.1000000000000001e-05,7
106,1.0396681935510272,1.1000000000000001e-05,7
107,1.040514533955436,1.1000000000000001e-05,7
108,1.0413615633220392,1.1000000000000001e-05,7
109,1.0422092822116853,1.1000000000000001e-05,7
110,1.04305769118568,1.1000000000000001e-05,7
111,1.0439067908057853,1.1000000000000001e-05,7
112,1.0447565816342206,1.1000000000000001e-05,7
113,1.045607064233663,1.1000000000000001e-05,7
114,1.0464582391672481,1.1000000000000001e-05,7
115,1.0473101069985689,1.1000000000000001e-05,7
116,1.0481626682916783,1.1000000000000001e-05,7
117,1.0490159236110872,1.1000000000000001e-05,7
118,1.0498698735217677,1.1000000000000001e-05,7
119,1.0507245185891503,1.1000000000000001e-05,7
120,1.0515798593791263,1.1000000000000001e-05,7
121,1.0524358964580478,1.1000000000000001e-05,7
122,1.0532926303927277,1.1000000000000001e-05,7
123,1.0541500617504405,1.1000000000000001e-05,7
124,1.0550081910989224,1.1000000000000001e-05,7
125,1.055867019006372,1.1000000000000001e-05,7
126,1.0567265460414494,1.1000000000000001e-05,7
127,1.0575867727732797,1.1000000000000001e-05,7
128,1.0584476997714491,1.1000000000000001e-05,7
129,1.059309327606009,1.1000000000000001e-05,7
130,1.0601716568474737,1.1000000000000001e-05,7
131,1.0610346880668229,1.1000000000000001e-05,7
132,1.0618984218355008,1.1000000000000001e-05,7
133,1.062762858725416,1.1000000000000001e-05,7
134,1.0636279993089441,1.1000000000000001e-05,7
135,1.0644938441589253,1.1000000000000001e-05,7
136,1.065360393848667,1.1000000000000001e-05,7
137,1.066227648951943,1.1000000000000001e-05,7
138,1.0670956100429942,1.1000000000000001e-05,7
139,1.0679642776965288,1.1000000000000001e-05,7
140,1.068833652487723,1.1000000000000001e-05,7
141,1.0697037349922214,1.1000000000000001e-05,7
142,1.0705745257861368,1.1000000000000001e-05,7
143,1.071446025446051,1.1000000000000001e-05,7
144,1.0723182345490156,1.1000000000000001e-05,7
145,1.0731911536725518,1.1000000000000001e-05,7
146,1.0740647833946508,1.1000000000000001e-05,7
147,1.074939124293774,1.1000000000000001e-05,7
148,1.0758141769488545,1.1000000000000001e-05,7
149,1.0766899419392961,1.1000000000000001e-05,7
150,1.0775664198449741,1.1000000000000001e-05,7
151,1.0784436112462363,1.1000000000000001e-05,7
152,1.079321516723903,1.1000000000000001e-05,7
153,1.0802001368592664,1.1000000000000001e-05,7
154,1.0810794722340933,1.1000000000000001e-05,7
155,1.0819595234306232,1.1000000000000001e-05,7
156,1.0828402910315693,1.1000000000000001e-05,7
157,1.0837217756201203,1.1000000000000001e-05,7
158,1.0846039777799383,1.1000000000000001e-05,7
159,1.0854868980951615,1.1000000000000001e-05,7
160,1.0863705371504029,1.1000000000000001e-05,7
161,1.0872548955307526,1.1000000000000001e-05,7
162,1.088139973821775,1.1000000000000001e-05,7
163,1.0890257726095134,1.1000000000000001e-05,7
164,1.0899122924804867,1.1000000000000001e-05,7
165,1.0907995340216914,1.1000000000000001e-05,7
166,1.0916874978206028,1.1000000000000001e-05,7
167,1.0925761844651731,1.1000000000000001e-05,7
168,1.0934655945438343,1.1000000000000001e-05,7
169,1.0943557286454961,1.1000000000000001e-05,7
170,1.0952465873595492,1.1000000000000001e-05,7
171,1.096138171275863,1.1000000000000001e-05,7
172,1.0970304809847873,1.1000000000000001e-05,7
173,1.0979235170771526,1.1000000000000001e-05,7
174,1.0988172801442704,1.1000000000000001e-05,7
175,1.0997117707779334,1.1000000000000001e-05,7
176,1.1006069895704158,1.1000000000000001e-05,7
177,1.1015029371144747,1.1000000000000001e-05,7
178,1.1023996140033487,1.1000000000000001e-05,7
179,1.1032970208307604,1.1000000000000001e-05,7
180,1.1041951581909153,1.1000000000000001e-05,7
181,1.105094026678502,1.1000000000000001e-05,7
182,1.1059936268886945,1.1000000000000001e-05,7
183,1.1068939594171499,1.1000000000000001e-05,7
184,1.107795024860011,1.1000000000000001e-05,7
185,1.1086968238139057,1.1000000000000001e-05,7
186,1.1095993568759477,1.1000000000000001e-05,7
187,1.1105026246437364,1.1000000000000001e-05,7
188,1.1114066277153585,1.1000000000000001e-05,7
189,1.1123113666893867,1.1000000000000001e-05,7
190,1.1132168421648814,1.1000000000000001e-05,7
191,1.1141230547413905,1.1000000000000001e-05,7
192,1.11503000501895,1.1000000000000001e-05,7
193,1.1159376935980845,1.1000000000000001e-05,7
194,1.1168461210798073,1.1000000000000001e-05,7
195,1.1177552880656207,1.1000000000000001e-05,7
196,1.118665195157517,1.1000000000000001e-05,7
197,1.119575842957979,1.1000000000000001e-05,7
198,1.1204872320699792,1.1000000000000001e-05,7
199,1.1213993630969812,1.1000000000000001e-05,7
200,1.1223122366429397,1.1000000000000001e-05,7
201,1.1232258533123012,1.1000000000000001e-05,7
202,1.1241402137100043,1.1000000000000001e-05,7
203,1.1250553184414802,1.1000000000000001e-05,7
204,1.1259711681126523,1.1000000000000001e-05,7
205,1.1268877633299377,1.1000000000000001e-05,7
206,1.1278051047002478,1.1000000000000001e-05,7
207,1.128723192830987,1.1000000000000001e-05,7
208,1.1296420283300546,1.1000000000000001e-05,7
209,1.1305616118058446,1.1000000000000001e-05,7
210,1.1314819438672463,1.1000000000000001e-05,7
211,1.132403025123645,1.1000000000000001e-05,7
212,1.1333248561849218,1.1000000000000001e-05,7
213,1.1342474376614542,1.1000000000000001e-05,7
214,1.1351707701641163,1.1000000000000001e-05,7
215,1.1360948543042804,1.1000000000000001e-05,7
216,1.137019690693816,1.1000000000000001e-05,7
217,1.13794527994509,1.1000000000000001e-05,7
218,1.138871622670969,1.1000000000000001e-05,7
219,1.1397987194848176,1.1000000000000001e-05,7
220,1.1407265710005001,1.1000000000000001e-05,7
221,1.1416551778323805,1.1000000000000001e-05,7
222,1.1425845405953228,1.1000000000000001e-05,7
223,1.143514659904692,1.1000000000000001e-05,7
224,1.1444455363763528,1.1000000000000001e-05,7
225,1.1453771706266729,1.1000000000000001e-05,7
226,1.1463095632725206,1.1000000000000001e-05,7
227,1.1472427149312667,1.1000000000000001e-05,7
228,1.1481766262207844,1.1000000000000001e-05,7
229,1.1491112977594504,1.1000000000000001e-05,7
230,1.1500467301661437,1.1000000000000001e-05,7
231,1.150982924060249,1.1000000000000001e-05,7
232,1.151919880061653,1.1000000000000001e-05,7
233,1.1528575987907486,1.1000000000000001e-05,7
234,1.153796080868433,1.1000000000000001e-05,7
235,1.1547353269161094,1.1000000000000001e-05,7
236,1.1556753375556859,1.1000000000000001e-05,7
237,1.1566161134095774,1.1000000000000001e-05,7
238,1.157557655100706,1.1000000000000001e-05,7
239,1.1584999632525002,1.1000000000000001e-05,7
240,1.159443038488896,1.1000000000000001e-05,7
241,1.160386881434338,1.1000000000000001e-05,7
242,1.1613314927137786,1.1000000000000001e-05,7
243,1.1622768729526785,1.1000000000000001e-05,7
244,1.1632230227770084,1.1000000000000001e-05,7
245,1.1641699428132481,1.1000000000000001e-05,7
246,1.1651176336883875,1.1000000000000001e-05,7
247,1.166066096029927,1.1000000000000001e-05,7
248,1.1670153304658775,1.1000000000000001e-05,7
249,1.1679653376247616,1.1000000000000001e-05,7
250,1.1689161181356134,1.1000000000000001e-05,7
251,1.1698676726279784,1.1000000000000001e-05,7
252,1.170820001731916,1.1000000000000001e-05,7
253,1.1717731060779968,1.1000000000000001e-05,7
254,1.1727269862973062,1.1000000000000001e-05,7
255,1.1736816430214423,1.1000000000000001e-05,7
256,1.1746370768825176,1.1000000000000001e-05,7
257,1.1755932885131595,1.1000000000000001e-05,7
258,1.1765502785465105,1.1000000000000001e-05,7
259,1.177508047616228,1.1000000000000001e-05,7
260,1.1784665963564855,1.1000000000000001e-05,7
261,1.1794259254019726,1.1000000000000001e-05,7
262,1.1803860353878954,1.1000000000000001e-05,7
263,1.1813469269499777,1.1000000000000001e-05,7
264,1.1823086007244605,1.1000000000000001e-05,7
265,1.1832710573481025,1.1000000000000001e-05,7
266,1.1842342974581805,1.1000000000000001e-05,7
267,1.1851983216924915,1.1000000000000001e-05,7
268,1.18616313068935,1.1000000000000001e-05,7
269,1.1871287250875913,1.1000000000000001e-05,7
270,1.1880951055265696,1.1000000000000001e-05,7
271,1.1890622726461608,1.1000000000000001e-05,7
272,1.190030227086761,1.1000000000000001e-05,7
273,1.1909989694892875,1.1000000000000001e-05,7
274,1.1919685004951799,1.1000000000000001e-05,7
275,1.1929388207463998,1.1000000000000001e-05,7
276,1.1939099308854306,1.1000000000000001e-05,7
277,1.1948818315552798,1.1000000000000001e-05,7
278,1.1958545233994777,1.1000000000000001e-05,7
279,1.196828007062079,1.1000000000000001e-05,7
280,1.1978022831876616,1.1000000000000001e-05,7
281,1.1987773524213294,1.1000000000000001e-05,7
282,1.1997532154087107,1.1000000000000001e-05,7
283,1.20072987279596,1.1000000000000001e-05,7
284,1.201707325229757,1.1000000000000001e-05,7
285,1.2026855733573083,1.1000000000000001e-05,7
286,1.203664617826347,1.1000000000000001e-05,7
287,1.2046444592851342,1.1000000000000001e-05,7
288,1.205625098382458,1.1000000000000001e-05,7
289,1.2066065357676348,1.1000000000000001e-05,7
290,1.20758877209051,1.1000000000000001e-05,7
