round,epsilon,delta,opt_order
1,0.9562810556789203,1e-05,10
2,0.994551474573869,1e-05,10
3,1.0328218934688176,1e-05,10
4,1.0538062234713996,1e-05,9
5,1.0555878855147827,1e-05,9
6,1.0573695475581657,1e-05,9
7,1.0591512096015487,1e-05,9
8,1.0609328716449318,1e-05,9
9,1.0627145336883148,1e-05,9
10,1.0644961957316978,1e-05,9
11,1.0662778577750809,1e-05,9
12,1.068059519818464,1e-05,9
13,1.069841181861847,1e-05,9
14,1.07162284390523,1e-05,9
15,1.073404505948613,1e-05,9
16,1.075186167991996,1e-05,9
17,1.076967830035379,1e-05,9
18,1.0787494920787621,1e-05,9
19,1.0805311541221452,1e-05,9
20,1.0823128161655282,1e-05,9
21,1.0840944782089112,1e-05,9
22,1.0858761402522943,1e-05,9
23,1.0876578022956773,1e-05,9
24,1.0894394643390604,1e-05,9
25,1.0912211263824436,1e-05,9
26,1.0930027884258267,1e-05,9
27,1.0947844504692097,1e-05,9
28,1.0965661125125927,1e-05,9
29,1.0983477745559758,1e-05,9
30,1.1001294365993588,1e-05,9
31,1.1019110986427418,1e-05,9
32,1.1036927606861249,1e-05,9
33,1.105474422729508,1e-05,9
34,1.107256084772891,1e-05,9
35,1.109037746816274,1e-05,9
36,1.110819408859657,1e-05,9
37,1.11260107090304,1e-05,9
38,1.114382732946423,1e-05,9
39,1.1161643949898061,1e-05,9
40,1.1179460570331892,1e-05,9
41,1.1197277190765722,1e-05,9
42,1.1215093811199552,1e-05,9
43,1.1232910431633383,1e-05,9
44,1.1250727052067213,1e-05,9
45,1.1268543672501043,1e-05,9
46,1.1286360292934874,1e-05,9
47,1.1304176913368704,1e-05,9
48,1.1321993533802535,1e-05,9
49,1.1339810154236365,1e-05,9
50,1.1357626774670195,1e-05,9
51,1.1375443395104026,1e-05,9
52,1.1393260015537856,1e-05,9
53,1.1411076635971686,1e-05,9
54,1.1428893256405517,1e-05,9
55,1.1446709876839347,1e-05,9
56,1.1464526497273178,1e-05,9
57,1.1482343117707008,1e-05,9
58,1.1500159738140838,1e-05,9
59,1.1517976358574669,1e-05,9
60,1.15357929790085,1e-05,9
61,1.155360959944233,1e-05,9
62,1.157142621987616,1e-05,9
63,1.158924284030999,1e-05,9
64,1.160705946074382,1e-05,9
65,1.162487608117765,1e-05,9
66,1.1642692701611481,1e-05,9
67,1.1660509322045312,1e-05,9
68,1.1678325942479142,1e-05,9
69,1.1696142562912974,1e-05,9
70,1.1713959183346805,1e-05,9
71,1.1731775803780635,1e-05,9
72,1.1749592424214466,1e-05,9
73,1.1767409044648296,1e-05,9
74,1.1785225665082126,1e-05,9
75,1.1803042285515957,1e-05,9
76,1.1820858905949787,1e-05,9
77,1.1838675526383617,1e-05,9
78,1.1856492146817448,1e-05,9
79,1.1874308767251278,1e-05,9
80,1.1892125387685109,1e-05,9
81,1.1909942008118939,1e-05,9
82,1.192775862855277,1e-05,9
83,1.19455752489866,1e-05,9
84,1.196339186942043,1e-05,9
85,1.198120848985426,1e-05,9
86,1.199902511028809,1e-05,9
87,1.201684173072192,1e-05,9
88,1.2034658351155751,1e-05,9
89,1.2052474971589582,1e-05,9
90,1.2070291592023412,1e-05,9
91,1.2088108212457243,1e-05,9
92,1.2105924832891073,1e-05,9
93,1.2123741453324903,1e-05,9
94,1.2141558073758734,1e-05,9
95,1.2159374694192564,1e-05,9
96,1.2177191314626394,1e-05,9
97,1.2195007935060225,1e-05,9
98,1.2212824555494055,1e-05,9
99,1.2230641175927885,1e-05,9
100,1.2248457796361716,1e-05,9
101,1.2266274416795546,1e-05,9
102,1.2284091037229377,1e-05,9
103,1.2301907657663207,1e-05,9
104,1.2319724278097037,1e-05,9
105,1.2337540898530868,1e-05,9
106,1.2355357518964698,1e-05,9
107,1.2373174139398528,1e-05,9
108,1.2390990759832359,1e-05,9
109,1.240880738026619,1e-05,9
110,1.242662400070002,1e-05,9
111,1.244444062113385,1e-05,9
112,1.246225724156768,1e-05,9
113,1.248007386200151,1e-05,9
114,1.249789048243534,1e-05,9
115,1.2515707102869171,1e-05,9
116,1.2533523723303002,1e-05,9
117,1.2551340343736832,1e-05,9
118,1.2569156964170662,1e-05,9
119,1.2586973584604493,1e-05,9
120,1.2604790205038325,1e-05,9
121,1.2622606825472156,1e-05,9
122,1.2640423445905986,1e-05,9
123,1.2658240066339816,1e-05,9
124,1.2676056686773647,1e-05,9
125,1.2693873307207477,1e-05,9
126,1.2711689927641308,1e-05,9
127,1.2729506548075138,1e-05,9
128,1.2747323168508968,1e-05,9
129,1.2765139788942799,1e-05,9
130,1.278295640937663,1e-05,9
131,1.280077302981046,1e-05,9
132,1.281858965024429,1e-05,9
133,1.283640627067812,1e-05,9
134,1.285422289111195,1e-05,9
135,1.287203951154578,1e-05,9
136,1.2889856131979611,1e-05,9
137,1.2907672752413442,1e-05,9
138,1.2925489372847272,1e-05,9
139,1.2943305993281102,1e-05,9
140,1.2961122613714933,1e-05,9
141,1.2978939234148763,1e-05,9
142,1.2996755854582593,1e-05,9
143,1.3014572475016424,1e-05,9
144,1.3032389095450254,1e-05,9
145,1.3050205715884085,1e-05,9
146,1.3068022336317915,1e-05,9
147,1.3085838956751745,1e-05,9
148,1.3103655577185576,1e-05,9
149,1.3121472197619406,1e-05,9
150,1.3139288818053236,1e-05,9
151,1.3157105438487067,1e-05,9
152,1.3174922058920897,1e-05,9
153,1.3192738679354727,1e-05,9
154,1.3210555299788558,1e-05,9
155,1.3228371920222388,1e-05,9
156,1.3246188540656219,1e-05,9
157,1.326400516109005,1e-05,9
158,1.3281821781523881,1e-05,9
159,1.3299638401957712,1e-05,9
160,1.3317455022391542,1e-05,9
161,1.3335271642825373,1e-05,9
162,1.3353088263259203,1e-05,9
163,1.3370904883693033,1e-05,9
164,1.3388721504126864,1e-05,9
165,1.3406538124560694,1e-05,9
166,1.3424354744994524,1e-05,9
167,1.3442171365428355,1e-05,9
168,1.3459987985862185,1e-05,9
169,1.3477804606296016,1e-05,9
170,1.3495621226729846,1e-05,9
171,1.3513437847163676,1e-05,9
172,1.3531254467597507,1e-05,9
173,1.3549071088031337,1e-05,9
174,1.3566887708465167,1e-05,9
175,1.3584704328898998,1e-05,9
176,1.3602520949332828,1e-05,9
177,1.3620337569766658,1e-05,9
178,1.3638154190200489,1e-05,9
179,1.365597081063432,1e-05,9
180,1.367378743106815,1e-05,9
181,1.369160405150198,1e-05,9
182,1.370942067193581,1e-05,9
183,1.372723729236964,1e-05,9
184,1.374505391280347,1e-05,9
185,1.3762870533237301,1e-05,9
186,1.3780687153671132,1e-05,9
187,1.3798503774104962,1e-05,9
188,1.3816320394538792,1e-05,9
189,1.3830078663830698,1e-05,8
190,1.3839015102906758,1e-05,8
191,1.3847951541982821,1e-05,8
192,1.385688798105888,1e-05,8
193,1.386582442013494,1e-05,8
194,1.3874760859211,1e-05,8
195,1.3883697298287059,1e-05,8
196,1.3892633737363118,1e-05,8
197,1.3901570176439182,1e-05,8
198,1.3910506615515241,1e-05,8
199,1.39194430545913,1e-05,8
200,1.392837949366736,1e-05,8
201,1.393731593274342,1e-05,8
202,1.3946252371819479,1e-05,8
203,1.3955188810895542,1e-05,8
204,1.3964125249971602,1e-05,8
205,1.397306168904766,1e-05,8
206,1.398199812812372,1e-05,8
207,1.399093456719978,1e-05,8
208,1.3999871006275844,1e-05,8
209,1.4008807445351903,1e-05,8
210,1.4017743884427962,1e-05,8
211,1.4026680323504022,1e-05,8
212,1.403561676258008,1e-05,8
213,1.404455320165614,1e-05,8
214,1.4053489640732204,1e-05,8
215,1.4062426079808263,1e-05,8
216,1.4071362518884323,1e-05,8
217,1.4080298957960382,1e-05,8
218,1.4089235397036441,1e-05,8
219,1.40981718361125,1e-05,8
220,1.4107108275188565,1e-05,8
221,1.4116044714264624,1e-05,8
222,1.4124981153340683,1e-05,8
223,1.4133917592416743,1e-05,8
224,1.4142854031492802,1e-05,8
225,1.4151790470568866,1e-05,8
226,1.4160726909644925,1e-05,8
227,1.4169663348720984,1e-05,8
228,1.4178599787797044,1e-05,8
229,1.4187536226873103,1e-05,8
230,1.4196472665949162,1e-05,8
231,1.4205409105025226,1e-05,8
232,1.4214345544101286,1e-05,8
233,1.4223281983177345,1e-05,8
234,1.4232218422253404,1e-05,8
235,1.4241154861329464,1e-05,8
236,1.4250091300405523,1e-05,8
237,1.4259027739481587,1e-05,8
238,1.4267964178557646,1e-05,8
239,1.4276900617633705,1e-05,8
240,1.4285837056709765,1e-05,8
241,1.4294773495785824,1e-05,8
242,1.4303709934861888,1e-05,8
243,1.4312646373937947,1e-05,8
244,1.4321582813014007,1e-05,8
245,1.4330519252090066,1e-05,8
246,1.4339455691166125,1e-05,8
247,1.4348392130242185,1e-05,8
248,1.4357328569318248,1e-05,8
249,1.4366265008394308,1e-05,8
250,1.4375201447470367,1e-05,8
251,1.4384137886546426,1e-05,8
252,1.4393074325622486,1e-05,8
253,1.440201076469855,1e-05,8
254,1.441094720377461,1e-05,8
255,1.4419883642850668,1e-05,8
256,1.4428820081926728,1e-05,8
257,1.4437756521002787,1e-05,8
258,1.4446692960078846,1e-05,8
259,1.445562939915491,1e-05,8
260,1.446456583823097,1e-05,8
261,1.4473502277307029,1e-05,8
262,1.4482438716383088,1e-05,8
263,1.4491375155459147,1e-05,8
264,1.4500311594535207,1e-05,8
265,1.450924803361127,1e-05,8
266,1.451818447268733,1e-05,8
267,1.452712091176339,1e-05,8
268,1.4536057350839449,1e-05,8
269,1.4544993789915508,1e-05,8
270,1.4553930228991572,1e-05,8
271,1.456286666806763,1e-05,8
272,1.457180310714369,1e-05,8
273,1.458073954621975,1e-05,8
274,1.458967598529581,1e-05,8
275,1.4598612424371868,1e-05,8
276,1.4607548863447932,1e-05,8
277,1.4616485302523992,1e-05,8
278,1.462542174160005,1e-05,8
279,1.463435818067611,1e-05,8
280,1.464329461975217,1e-05,8
281,1.465223105882823,1e-05,8
282,1.4661167497904293,1e-05,8
283,1.4670103936980352,1e-05,8
284,1.4679040376056411,1e-05,8
285,1.468797681513247,1e-05,8
286,1.469691325420853,1e-05,8
287,1.470584969328459,1e-05,8
288,1.4714786132360653,1e-05,8
289,1.4723722571436713,1e-05,8
290,1.4732659010512772,1e-05,8
291,1.4741595449588831,1e-05,8
292,1.475053188866489,1e-05,8
293,1.4759468327740954,1e-05,8
294,1.4768404766817014,1e-05,8
295,1.4777341205893073,1e-05,8
296,1.4786277644969132,1e-05,8
297,1.4795214084045192,1e-05,8
298,1.4804150523121251,1e-05,8
299,1.4813086962197315,1e-05,8
300,1.4822023401273374,1e-05,8
301,1.4830959840349434,1e-05,8
302,1.4839896279425493,1e-05,8
303,1.4848832718501552,1e-05,8
304,1.4857769157577612,1e-05,8
305,1.4866705596653675,1e-05,8
306,1.4875642035729735,1e-05,8
307,1.4884578474805794,1e-05,8
308,1.4893514913881853,1e-05,8
309,1.4902451352957913,1e-05,8
310,1.4911387792033977,1e-05,8
311,1.4920324231110036,1e-05,8
312,1.4929260670186095,1e-05,8
313,1.4938197109262155,1e-05,8
314,1.4947133548338214,1e-05,8
315,1.4956069987414273,1e-05,8
316,1.4965006426490337,1e-05,8
317,1.4973942865566396,1e-05,8
318,1.4982879304642456,1e-05,8
319,1.4991815743718515,1e-05,8
320,1.5000752182794574,1e-05,8
321,1.5009688621870638,1e-05,8
322,1.5018625060946698,1e-05,8
323,1.5027561500022757,1e-05,8
324,1.5036497939098816,1e-05,8
325,1.5045434378174876,1e-05,8
326,1.5054370817250935,1e-05,8
327,1.5063307256326999,1e-05,8
328,1.5072243695403058,1e-05,8
329,1.5081180134479117,1e-05,8
330,1.5090116573555177,1e-05,8
331,1.5099053012631236,1e-05,8
332,1.5107989451707295,1e-05,8
333,1.511692589078336,1e-05,8
334,1.5125862329859419,1e-05,8
335,1.5134798768935478,1e-05,8
336,1.5143735208011537,1e-05,8
337,1.5152671647087597,1e-05,8
338,1.516160808616366,1e-05,8
339,1.517054452523972,1e-05,8
340,1.517948096431578,1e-05,8
341,1.5188417403391838,1e-05,8
342,1.5197353842467898,1e-05,8
343,1.5206290281543957,1e-05,8
344,1.521522672062002,1e-05,8
345,1.522416315969608,1e-05,8
346,1.523309959877214,1e-05,8
347,1.52420360378482,1e-05,8
348,1.5250972476924258,1e-05,8
349,1.5259908916000318,1e-05,8
350,1.5268845355076381,1e-05,8
351,1.527778179415244,1e-05,8
352,1.52867182332285,1e-05,8
353,1.529565467230456,1e-05,8
354,1.5304591111380619,1e-05,8
355,1.5313527550456683,1e-05,8
356,1.5322463989532742,1e-05,8
357,1.5331400428608801,1e-05,8
358,1.534033686768486,1e-05,8
359,1.534927330676092,1e-05,8
360,1.535820974583698,1e-05,8
361,1.5367146184913043,1e-05,8
362,1.5376082623989102,1e-05,8
363,1.5385019063065162,1e-05,8
364,1.539395550214122,1e-05,8
365,1.540289194121728,1e-05,8
366,1.541182838029334,1e-05,8
367,1.5420764819369404,1e-05,8
368,1.5429701258445463,1e-05,8
369,1.5438637697521522,1e-05,8
370,1.5447574136597582,1e-05,8
371,1.545651057567364,1e-05,8
372,1.5465447014749705,1e-05,8
373,1.5474383453825764,1e-05,8
374,1.5483319892901823,1e-05,8
375,1.5492256331977883,1e-05,8
376,1.5501192771053942,1e-05,8
377,1.5510129210130001,1e-05,8
378,1.5519065649206065,1e-05,8
379,1.5528002088282125,1e-05,8
380,1.5536938527358184,1e-05,8
381,1.5545874966434243,1e-05,8
382,1.5554811405510303,1e-05,8
383,1.5563747844586362,1e-05,8
384,1.5572684283662426,1e-05,8
385,1.5581620722738485,1e-05,8
386,1.5590557161814544,1e-05,8
387,1.5599493600890604,1e-05,8
388,1.5608430039966663,1e-05,8
389,1.5617366479042727,1e-05,8
390,1.5626302918118786,1e-05,8
391,1.5635239357194846,1e-05,8
392,1.5644175796270905,1e-05,8
393,1.5653112235346964,1e-05,8
394,1.5662048674423024,1e-05,8
395,1.5670985113499087,1e-05,8
396,1.5679921552575147,1e-05,8
397,1.5688857991651206,1e-05,8
398,1.5697794430727265,1e-05,8
399,1.5706730869803325,1e-05,8
400,1.5715667308879384,1e-05,8
401,1.5724603747955448,1e-05,8
402,1.5733540187031507,1e-05,8
403,1.5742476626107567,1e-05,8
404,1.5751413065183626,1e-05,8
405,1.5760349504259685,1e-05,8
406,1.576928594333575,1e-05,8
407,1.5778222382411808,1e-05,8
408,1.5787158821487868,1e-05,8
409,1.5796095260563927,1e-05,8
410,1.5805031699639986,1e-05,8
411,1.5813968138716046,1e-05,8
412,1.582290457779211,1e-05,8
413,1.583184101686817,1e-05,8
414,1.5840777455944228,1e-05,8
415,1.5849713895020288,1e-05,8
416,1.5858650334096347,1e-05,8
417,1.5867586773172406,1e-05,8
418,1.587652321224847,1e-05,8
419,1.588545965132453,1e-05,8
420,1.5894396090400589,1e-05,8
421,1.5903332529476648,1e-05,8
422,1.5912268968552707,1e-05,8
423,1.5921205407628771,1e-05,8
424,1.593014184670483,1e-05,8
425,1.593907828578089,1e-05,8
426,1.594801472485695,1e-05,8
427,1.5956951163933009,1e-05,8
428,1.5965887603009068,1e-05,8
429,1.5974824042085132,1e-05,8
430,1.598376048116119,1e-05,8
431,1.599269692023725,1e-05,8
432,1.600163335931331,1e-05,8
433,1.601056979838937,1e-05,8
434,1.6019506237465433,1e-05,8
435,1.6028442676541492,1e-05,8
436,1.6037379115617552,1e-05,8
437,1.604631555469361,1e-05,8
438,1.605525199376967,1e-05,8
439,1.606418843284573,1e-05,8
440,1.6073124871921793,1e-05,8
441,1.6082061310997853,1e-05,8
442,1.6090997750073912,1e-05,8
443,1.6099934189149971,1e-05,8
444,1.610887062822603,1e-05,8
445,1.611780706730209,1e-05,8
446,1.6126743506378154,1e-05,8
447,1.6135679945454213,1e-05,8
448,1.6144616384530273,1e-05,8
449,1.6153552823606332,1e-05,8
450,1.6162489262682391,1e-05,8
451,1.6171425701758455,1e-05,8
452,1.6180362140834514,1e-05,8
453,1.6189298579910574,1e-05,8
454,1.6198235018986633,1e-05,8
455,1.6207171458062692,1e-05,8
456,1.6216107897138752,1e-05,8
457,1.6225044336214816,1e-05,8
458,1.6233980775290875,1e-05,8
459,1.6242917214366934,1e-05,8
460,1.6251853653442994,1e-05,8
461,1.6260790092519053,1e-05,8
462,1.6269726531595112,1e-05,8
463,1.6278662970671176,1e-05,8
464,1.6287599409747235,1e-05,8
465,1.6296535848823295,1e-05,8
466,1.6305472287899354,1e-05,8
467,1.6314408726975413,1e-05,8
468,1.6323345166051477,1e-05,8
469,1.6332281605127537,1e-05,8
470,1.6341218044203596,1e-05,8
471,1.6350154483279655,1e-05,8
472,1.6359090922355715,1e-05,8
473,1.6368027361431774,1e-05,8
474,1.6376963800507838,1e-05,8
475,1.6385900239583897,1e-05,8
476,1.6394836678659956,1e-05,8
477,1.6403773117736016,1e-05,8
